plasmid_id	inc_type	length_bp	pLIN	bin_A	bin_B	bin_C	bin_D	bin_E	bin_F
RefSeq_NZ_CP054770.1	IncFII	133772	1.1.1.7.30.1313	1	1	1	7	30	1313
RefSeq_NZ_CP054771.1	IncFII	87095	1.1.1.7.30.1099	1	1	1	7	30	1099
RefSeq_NZ_CP054776.1	IncFII	133772	1.1.1.7.30.1313	1	1	1	7	30	1313
RefSeq_NZ_CP054777.1	IncFII	87095	1.1.1.7.30.1135	1	1	1	7	30	1135
RefSeq_NZ_CP054782.1	IncFII	133771	1.1.1.7.30.1313	1	1	1	7	30	1313
RefSeq_NZ_CP054783.1	IncFII	87095	1.1.1.7.30.1099	1	1	1	7	30	1099
RefSeq_NZ_CP054941.1	IncFII	142890	1.1.1.7.30.1162	1	1	1	7	30	1162
RefSeq_NZ_CP054966.1	IncFII	87961	1.1.1.7.30.1572	1	1	1	7	30	1572
RefSeq_NZ_CP054969.1	IncFII	137932	1.1.1.7.30.1248	1	1	1	7	30	1248
RefSeq_NZ_CP054973.1	IncFII	140582	1.1.1.7.30.1248	1	1	1	7	30	1248
RefSeq_NZ_CP054974.1	IncFII	120564	1.1.1.7.30.1077	1	1	1	7	30	1077
RefSeq_NZ_CP054979.1	IncFII	157162	1.1.1.7.30.1336	1	1	1	7	30	1336
RefSeq_NZ_CP054985.1	IncFII	221140	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP054986.1	IncFII	121235	1.1.1.7.30.1248	1	1	1	7	30	1248
RefSeq_NZ_CP054993.1	IncFII	86160	1.1.1.7.30.1120	1	1	1	7	30	1120
RefSeq_NZ_CP054999.1	IncFII	91712	1.1.1.7.30.1121	1	1	1	7	30	1121
RefSeq_NZ_CP055006.1	IncFII	115763	1.1.1.7.30.1182	1	1	1	7	30	1182
RefSeq_NZ_CP055014.1	IncFII	99172	1.1.1.7.30.1676	1	1	1	7	30	1676
RefSeq_NZ_CP055020.1	IncFII	154739	1.1.1.7.30.998	1	1	1	7	30	998
RefSeq_NZ_CP055038.1	IncFII	140589	1.1.1.7.30.1248	1	1	1	7	30	1248
RefSeq_NZ_CP055059.1	IncFII	146309	1.1.1.7.30.1248	1	1	1	7	30	1248
RefSeq_NZ_CP055067.1	IncFII	181158	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP055076.1	IncFII	125787	1.1.1.7.30.1086	1	1	1	7	30	1086
RefSeq_NZ_CP055077.1	IncFII	69050	1.1.1.7.30.1311	1	1	1	7	30	1311
RefSeq_NZ_CP055097.1	IncFII	91928	1.1.1.7.30.1121	1	1	1	7	30	1121
RefSeq_NZ_CP055120.1	IncFII	173773	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP055176.1	IncFII	136415	1.1.1.7.30.1263	1	1	1	7	30	1263
RefSeq_NZ_CP055200.1	IncFII	137403	1.1.1.7.30.1346	1	1	1	7	30	1346
RefSeq_NZ_CP055211.1	IncFII	223722	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP055212.1	IncFII	102776	1.1.1.7.30.1317	1	1	1	7	30	1317
RefSeq_NZ_CP055214.1	IncFII	160169	1.1.1.7.30.1238	1	1	1	7	30	1238
RefSeq_NZ_CP055217.1	IncFII	97587	1.1.1.7.30.1038	1	1	1	7	30	1038
RefSeq_NZ_CP055221.1	IncFII	82001	1.1.1.7.30.1099	1	1	1	7	30	1099
RefSeq_NZ_CP055248.1	IncFII	89672	1.1.1.7.30.1313	1	1	1	7	30	1313
RefSeq_NZ_CP055254.1	IncFII	71937	1.1.1.7.30.1313	1	1	1	7	30	1313
RefSeq_NZ_CP055296.1	IncFII	133766	1.1.1.7.30.1313	1	1	1	7	30	1313
RefSeq_NZ_CP055297.1	IncFII	87095	1.1.1.7.30.1099	1	1	1	7	30	1099
RefSeq_NZ_CP055311.1	IncFII	178153	1.1.1.7.30.1250	1	1	1	7	30	1250
RefSeq_NZ_CP055312.1	IncFII	119319	1.1.1.7.30.1007	1	1	1	7	30	1007
RefSeq_NZ_CP055317.1	IncFII	151589	1.1.1.7.30.1449	1	1	1	7	30	1449
RefSeq_NZ_CP055327.1	IncFII	215915	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP055328.1	IncFII	120646	1.1.1.7.30.1045	1	1	1	7	30	1045
RefSeq_NZ_CP055331.1	IncFII	180534	1.1.1.7.30.1209	1	1	1	7	30	1209
RefSeq_NZ_CP055332.1	IncFII	144822	1.1.1.7.30.1402	1	1	1	7	30	1402
RefSeq_NZ_CP055367.1	IncFII	103996	1.1.1.7.30.1640	1	1	1	7	30	1640
RefSeq_NZ_CP055405.1	IncFII	110576	1.1.1.7.30.1535	1	1	1	7	30	1535
RefSeq_NZ_CP055452.1	IncFII	244871	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP055483.1	IncFII	115642	1.1.1.7.30.916	1	1	1	7	30	916
RefSeq_NZ_CP055484.1	IncFII	82064	1.1.1.7.30.1055	1	1	1	7	30	1055
RefSeq_NZ_CP055510.1	IncFII	333723	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP055512.1	IncFII	95633	1.1.1.7.30.1039	1	1	1	7	30	1039
RefSeq_NZ_CP055513.1	IncFII	35237	1.1.1.7.30.110	1	1	1	7	30	110
RefSeq_NZ_CP055519.1	IncFII	115594	1.1.1.7.30.1561	1	1	1	7	30	1561
RefSeq_NZ_CP055520.1	IncFII	112388	1.1.1.7.30.1048	1	1	1	7	30	1048
RefSeq_NZ_CP055521.1	IncFII	71963	1.1.1.7.30.1042	1	1	1	7	30	1042
RefSeq_NZ_CP055522.1	IncFII	45242	1.1.1.7.30.1754	1	1	1	7	30	1754
RefSeq_NZ_CP055554.1	IncFII	219500	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP055556.1	IncFII	110973	1.1.1.7.30.1281	1	1	1	7	30	1281
RefSeq_NZ_CP055594.1	IncFII	116760	1.1.1.7.30.1294	1	1	1	7	30	1294
RefSeq_NZ_CP055908.1	IncFII	109959	1.1.1.7.30.1636	1	1	1	7	30	1636
RefSeq_NZ_CP055986.1	IncFII	206301	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP055992.1	IncFII	194765	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP055996.1	IncFII	106314	1.1.1.7.30.1829	1	1	1	7	30	1829
RefSeq_NZ_CP056037.1	IncFII	122881	1.1.1.7.30.1722	1	1	1	7	30	1722
RefSeq_NZ_CP056115.1	IncFII	128537	1.1.1.7.30.1166	1	1	1	7	30	1166
RefSeq_NZ_CP056138.1	IncFII	166165	1.1.1.7.30.1463	1	1	1	7	30	1463
RefSeq_NZ_CP056141.1	IncFII	92475	1.1.1.7.30.1054	1	1	1	7	30	1054
RefSeq_NZ_CP056169.1	IncFII	197969	1.1.1.7.30.1184	1	1	1	7	30	1184
RefSeq_NZ_CP056192.1	IncFII	246880	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP056194.1	IncFII	70240	1.1.1.7.30.1041	1	1	1	7	30	1041
RefSeq_NZ_CP056217.1	IncFII	144961	1.1.1.7.30.1239	1	1	1	7	30	1239
RefSeq_NZ_CP056252.1	IncFII	155385	1.1.1.7.30.1492	1	1	1	7	30	1492
RefSeq_NZ_CP056302.1	IncFII	267374	1.1.1.7.30.1288	1	1	1	7	30	1288
RefSeq_NZ_CP056308.1	IncFII	232875	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP056310.1	IncFII	97542	1.1.1.7.30.1039	1	1	1	7	30	1039
RefSeq_NZ_CP056311.1	IncFII	36438	1.1.1.7.30.110	1	1	1	7	30	110
RefSeq_NZ_CP056373.1	IncFII	193688	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP056374.1	IncFII	171701	1.1.1.7.30.1282	1	1	1	7	30	1282
RefSeq_NZ_CP056386.1	IncFII	252882	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP056394.1	IncFII	89835	1.1.1.7.30.1710	1	1	1	7	30	1710
RefSeq_NZ_CP056400.1	IncFII	179403	1.1.1.7.30.1127	1	1	1	7	30	1127
RefSeq_NZ_CP056410.1	IncFII	145381	1.1.1.7.30.1128	1	1	1	7	30	1128
RefSeq_NZ_CP056426.1	IncFII	220501	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP056427.1	IncFII	82555	1.1.1.7.30.1735	1	1	1	7	30	1735
RefSeq_NZ_CP056428.1	IncFII	25549	1.1.1.7.30.117	1	1	1	7	30	117
RefSeq_NZ_CP056434.1	IncFII	137885	1.1.1.7.30.1417	1	1	1	7	30	1417
RefSeq_NZ_CP056435.1	IncFII	136301	1.1.1.7.30.1304	1	1	1	7	30	1304
RefSeq_NZ_CP056452.1	IncFII	107190	1.1.1.7.30.918	1	1	1	7	30	918
RefSeq_NZ_CP056456.1	IncFII	111966	1.1.1.7.30.1178	1	1	1	7	30	1178
RefSeq_NZ_CP056486.1	IncFII	115642	1.1.1.7.30.916	1	1	1	7	30	916
RefSeq_NZ_CP056506.1	IncFII	142000	1.1.1.7.30.726	1	1	1	7	30	726
RefSeq_NZ_CP056531.1	IncFII	224837	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP056532.1	IncFII	111220	1.1.1.7.30.1191	1	1	1	7	30	1191
RefSeq_NZ_CP056533.1	IncFII	74689	1.1.1.7.30.1041	1	1	1	7	30	1041
RefSeq_NZ_CP056547.1	IncFII	119062	1.1.1.7.30.877	1	1	1	7	30	877
RefSeq_NZ_CP056553.1	IncFII	163659	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP056588.1	IncFII	84673	1.1.1.7.30.1822	1	1	1	7	30	1822
RefSeq_NZ_CP056593.1	IncFII	54483	1.1.1.7.30.1846	1	1	1	7	30	1846
RefSeq_NZ_CP056596.1	IncFII	76228	1.1.1.7.30.1867	1	1	1	7	30	1867
RefSeq_NZ_CP056624.1	IncFII	152768	1.1.1.7.30.1265	1	1	1	7	30	1265
RefSeq_NZ_CP056665.1	IncFII	83283	1.1.1.7.30.1178	1	1	1	7	30	1178
RefSeq_NZ_CP056677.1	IncFII	93159	1.1.1.7.30.1178	1	1	1	7	30	1178
RefSeq_NZ_CP056684.1	IncFII	134986	1.1.1.7.30.1558	1	1	1	7	30	1558
RefSeq_NZ_CP056686.1	IncFII	113484	1.1.1.7.30.1007	1	1	1	7	30	1007
RefSeq_NZ_CP056687.1	IncFII	76134	1.1.1.7.30.729	1	1	1	7	30	729
RefSeq_NZ_CP056688.1	IncFII	75825	1.1.1.7.30.1041	1	1	1	7	30	1041
RefSeq_NZ_CP056692.1	IncFII	109281	1.1.1.7.30.1178	1	1	1	7	30	1178
RefSeq_NZ_CP056702.1	IncFII	144021	1.1.1.7.30.1279	1	1	1	7	30	1279
RefSeq_NZ_CP056703.1	IncFII	133995	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP056708.1	IncFII	140774	1.1.1.7.30.879	1	1	1	7	30	879
RefSeq_NZ_CP056718.1	IncFII	128953	1.1.1.7.30.726	1	1	1	7	30	726
RefSeq_NZ_CP056721.1	IncFII	118204	1.1.1.7.30.1178	1	1	1	7	30	1178
RefSeq_NZ_CP056728.1	IncFII	96235	1.1.1.7.30.1178	1	1	1	7	30	1178
RefSeq_NZ_CP056739.1	IncFII	100493	1.1.1.7.30.1570	1	1	1	7	30	1570
RefSeq_NZ_CP056748.1	IncFII	96779	1.1.1.7.30.1179	1	1	1	7	30	1179
RefSeq_NZ_CP056761.1	IncFII	156264	1.1.1.7.30.1208	1	1	1	7	30	1208
RefSeq_NZ_CP056762.1	IncFII	98663	1.1.1.7.30.895	1	1	1	7	30	895
RefSeq_NZ_CP056777.1	IncFII	199561	1.1.1.7.30.1184	1	1	1	7	30	1184
RefSeq_NZ_CP056829.1	IncFII	100873	1.1.1.7.30.920	1	1	1	7	30	920
RefSeq_NZ_CP056835.1	IncFII	167459	1.1.1.7.30.1127	1	1	1	7	30	1127
RefSeq_NZ_CP056853.1	IncFII	177615	1.1.1.7.30.726	1	1	1	7	30	726
RefSeq_NZ_CP056855.1	IncFII	188591	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP056879.1	IncFII	199477	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP056880.1	IncFII	107020	1.1.1.7.30.967	1	1	1	7	30	967
RefSeq_NZ_CP056884.1	IncFII	198658	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP056885.1	IncFII	107020	1.1.1.7.30.967	1	1	1	7	30	967
RefSeq_NZ_CP057036.1	IncFII	86316	1.1.1.7.30.1222	1	1	1	7	30	1222
RefSeq_NZ_CP057100.1	IncFII	140023	1.1.1.7.30.1233	1	1	1	7	30	1233
RefSeq_NZ_CP057315.1	IncFII	147224	1.1.1.7.30.1233	1	1	1	7	30	1233
RefSeq_NZ_CP057723.1	IncFII	147522	1.1.1.7.30.1233	1	1	1	7	30	1233
RefSeq_NZ_CP058113.1	IncFII	156264	1.1.1.7.30.1208	1	1	1	7	30	1208
RefSeq_NZ_CP058114.1	IncFII	98663	1.1.1.7.30.895	1	1	1	7	30	895
RefSeq_NZ_CP058121.1	IncFII	67562	1.1.1.7.30.1041	1	1	1	7	30	1041
RefSeq_NZ_CP058129.1	IncFII	87112	1.1.1.7.30.1178	1	1	1	7	30	1178
RefSeq_NZ_CP058132.1	IncFII	199458	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP058147.1	IncFII	87112	1.1.1.7.30.1178	1	1	1	7	30	1178
RefSeq_NZ_CP058150.1	IncFII	111966	1.1.1.7.30.1178	1	1	1	7	30	1178
RefSeq_NZ_CP058154.1	IncFII	113845	1.1.1.7.30.981	1	1	1	7	30	981
RefSeq_NZ_CP058158.1	IncFII	113610	1.1.1.7.30.1178	1	1	1	7	30	1178
RefSeq_NZ_CP058161.1	IncFII	113845	1.1.1.7.30.981	1	1	1	7	30	981
RefSeq_NZ_CP058181.1	IncFII	133995	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP058182.1	IncFII	103340	1.1.1.7.30.1048	1	1	1	7	30	1048
RefSeq_NZ_CP058183.1	IncFII	95921	1.1.1.7.30.1590	1	1	1	7	30	1590
RefSeq_NZ_CP058184.1	IncFII	67313	1.1.1.7.30.1041	1	1	1	7	30	1041
RefSeq_NZ_CP058192.1	IncFII	141272	1.1.1.7.30.1178	1	1	1	7	30	1178
RefSeq_NZ_CP058197.1	IncFII	176631	1.1.1.7.30.1730	1	1	1	7	30	1730
RefSeq_NZ_CP058326.1	IncFII	205144	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP058327.1	IncFII	120302	1.1.1.7.30.1270	1	1	1	7	30	1270
RefSeq_NZ_CP058359.1	IncFII	161606	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP058362.1	IncFII	191595	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP058545.1	IncFII	104999	1.1.1.7.30.1271	1	1	1	7	30	1271
RefSeq_NZ_CP058550.1	IncFII	105000	1.1.1.7.30.1271	1	1	1	7	30	1271
RefSeq_NZ_CP058620.1	IncFII	67321	1.1.1.7.30.769	1	1	1	7	30	769
RefSeq_NZ_CP058745.1	IncFII	102695	1.1.1.7.30.1187	1	1	1	7	30	1187
RefSeq_NZ_CP058754.1	IncFII	102698	1.1.1.7.30.1187	1	1	1	7	30	1187
RefSeq_NZ_CP058755.1	IncFII	97014	1.1.1.7.30.1468	1	1	1	7	30	1468
RefSeq_NZ_CP058759.1	IncFII	141426	1.1.1.7.30.1248	1	1	1	7	30	1248
RefSeq_NZ_CP058762.1	IncFII	30500	1.1.1.7.30.87	1	1	1	7	30	87
RefSeq_NZ_CP058809.1	IncFII	93853	1.1.1.7.30.327	1	1	1	7	30	327
RefSeq_NZ_CP058861.1	IncFII	100885	1.1.1.7.30.1121	1	1	1	7	30	1121
RefSeq_NZ_CP058872.1	IncFII	103039	1.1.1.7.30.1200	1	1	1	7	30	1200
RefSeq_NZ_CP058877.1	IncFII	67224	1.1.1.7.30.1313	1	1	1	7	30	1313
RefSeq_NZ_CP058898.1	IncFII	93277	1.1.1.7.30.984	1	1	1	7	30	984
RefSeq_NZ_CP058918.1	IncFII	89795	1.1.1.7.30.1343	1	1	1	7	30	1343
RefSeq_NZ_CP058919.1	IncFII	54931	1.1.1.7.30.400	1	1	1	7	30	400
RefSeq_NZ_CP058923.1	IncFII	98451	1.1.1.7.30.987	1	1	1	7	30	987
RefSeq_NZ_CP058941.1	IncFII	208077	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP058961.1	IncFII	108036	1.1.1.7.30.1365	1	1	1	7	30	1365
RefSeq_NZ_CP058962.1	IncFII	88061	1.1.1.7.30.1223	1	1	1	7	30	1223
RefSeq_NZ_CP059005.1	IncFII	79323	1.1.1.7.30.1084	1	1	1	7	30	1084
RefSeq_NZ_CP059131.1	IncFII	167739	1.1.1.7.30.1346	1	1	1	7	30	1346
RefSeq_NZ_CP059280.1	IncFII	141169	1.1.1.7.30.1162	1	1	1	7	30	1162
RefSeq_NZ_CP059282.1	IncFII	140350	1.1.1.7.30.1162	1	1	1	7	30	1162
RefSeq_NZ_CP059310.1	IncFII	151753	1.1.1.7.30.1244	1	1	1	7	30	1244
RefSeq_NZ_CP059315.1	IncFII	101059	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP059333.1	IncFII	104838	1.1.1.7.30.1343	1	1	1	7	30	1343
RefSeq_NZ_CP059340.1	IncFII	181199	1.1.1.7.30.2123	1	1	1	7	30	2123
RefSeq_NZ_CP059392.1	IncFII	97925	1.1.1.7.30.1530	1	1	1	7	30	1530
RefSeq_NZ_CP059470.1	IncFII	211813	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP059713.1	IncFII	76436	1.1.1.7.30.1803	1	1	1	7	30	1803
RefSeq_NZ_CP059890.1	IncFII	95050	1.1.1.7.30.1248	1	1	1	7	30	1248
RefSeq_NZ_CP060051.1	IncFII	99260	1.1.1.7.30.1214	1	1	1	7	30	1214
RefSeq_NZ_CP060170.1	IncFII	93813	1.1.1.7.30.327	1	1	1	7	30	327
RefSeq_NZ_CP060283.1	IncFII	111136	1.1.1.7.30.1271	1	1	1	7	30	1271
RefSeq_NZ_CP060523.1	IncFII	59372	1.1.1.7.30.325	1	1	1	7	30	325
RefSeq_NZ_CP060667.1	IncFII	110273	1.1.1.7.30.935	1	1	1	7	30	935
RefSeq_NZ_CP060669.1	IncFII	110273	1.1.1.7.30.935	1	1	1	7	30	935
RefSeq_NZ_CP060671.1	IncFII	109445	1.1.1.7.30.936	1	1	1	7	30	936
RefSeq_NZ_CP060673.1	IncFII	110273	1.1.1.7.30.935	1	1	1	7	30	935
RefSeq_NZ_CP060675.1	IncFII	110273	1.1.1.7.30.935	1	1	1	7	30	935
RefSeq_NZ_CP060677.1	IncFII	110273	1.1.1.7.30.935	1	1	1	7	30	935
RefSeq_NZ_CP060679.1	IncFII	110273	1.1.1.7.30.937	1	1	1	7	30	937
RefSeq_NZ_CP060745.1	IncFII	92237	1.1.1.7.30.1099	1	1	1	7	30	1099
RefSeq_NZ_CP060752.1	IncFII	32368	1.1.1.7.30.87	1	1	1	7	30	87
RefSeq_NZ_CP060808.1	IncFII	138721	1.1.1.7.30.1271	1	1	1	7	30	1271
RefSeq_NZ_CP060939.1	IncFII	116611	1.1.1.7.30.1219	1	1	1	7	30	1219
RefSeq_NZ_CP060948.1	IncFII	86240	1.1.1.7.30.1313	1	1	1	7	30	1313
RefSeq_NZ_CP060955.1	IncFII	97755	1.1.1.7.30.1343	1	1	1	7	30	1343
RefSeq_NZ_CP061048.1	IncFII	93278	1.1.1.7.30.327	1	1	1	7	30	327
RefSeq_NZ_CP061109.1	IncFII	112598	1.1.1.7.30.1086	1	1	1	7	30	1086
RefSeq_NZ_CP061188.1	IncFII	165427	1.1.1.7.30.1336	1	1	1	7	30	1336
RefSeq_NZ_CP061347.1	IncFII	168960	1.1.1.7.30.1313	1	1	1	7	30	1313
RefSeq_NZ_CP061352.1	IncFII	108694	1.1.1.7.30.1271	1	1	1	7	30	1271
RefSeq_NZ_CP061355.1	IncFII	124452	1.1.1.7.30.1248	1	1	1	7	30	1248
RefSeq_NZ_CP061382.1	IncFII	136387	1.1.1.7.30.1056	1	1	1	7	30	1056
RefSeq_NZ_CP061387.1	IncFII	114416	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP061392.1	IncFII	78616	1.1.1.7.30.1044	1	1	1	7	30	1044
RefSeq_NZ_CP061393.1	IncFII	66476	1.1.1.7.30.1041	1	1	1	7	30	1041
RefSeq_NZ_CP061397.1	IncFII	177258	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP061400.1	IncFII	128320	1.1.1.7.30.1192	1	1	1	7	30	1192
RefSeq_NZ_CP061405.1	IncFII	162789	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP061406.1	IncFII	85405	1.1.1.7.30.1856	1	1	1	7	30	1856
RefSeq_NZ_CP061759.1	IncFII	151454	1.1.1.7.30.1666	1	1	1	7	30	1666
RefSeq_NZ_CP061833.1	IncFII	193300	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP061843.1	IncFII	173471	1.1.1.7.30.1248	1	1	1	7	30	1248
RefSeq_NZ_CP061953.1	IncFII	168138	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP061972.1	IncFII	121732	1.1.1.7.30.1271	1	1	1	7	30	1271
RefSeq_NZ_CP061979.1	IncFII	95882	1.1.1.7.30.1271	1	1	1	7	30	1271
RefSeq_NZ_CP062212.1	IncFII	177038	1.1.1.7.30.1336	1	1	1	7	30	1336
RefSeq_NZ_CP062214.1	IncFII	83974	1.1.1.7.30.1313	1	1	1	7	30	1313
RefSeq_NZ_CP062701.1	IncFII	90792	1.1.1.7.30.485	1	1	1	7	30	485
RefSeq_NZ_CP062779.1	IncFII	90783	1.1.1.7.30.485	1	1	1	7	30	485
RefSeq_NZ_CP062813.1	IncFII	97371	1.1.1.7.30.1027	1	1	1	7	30	1027
RefSeq_NZ_CP062870.1	IncFII	162467	1.1.1.7.30.1336	1	1	1	7	30	1336
RefSeq_NZ_CP062893.1	IncFII	99946	1.1.1.7.30.1464	1	1	1	7	30	1464
RefSeq_NZ_CP062971.1	IncFII	139547	1.1.1.7.30.1664	1	1	1	7	30	1664
RefSeq_NZ_CP062981.1	IncFII	114588	1.1.1.7.30.1351	1	1	1	7	30	1351
RefSeq_NZ_CP063148.1	IncFII	159093	1.1.1.7.30.1212	1	1	1	7	30	1212
RefSeq_NZ_CP063279.1	IncFII	127014	1.1.1.7.30.1271	1	1	1	7	30	1271
RefSeq_NZ_CP063291.1	IncFII	59372	1.1.1.7.30.325	1	1	1	7	30	325
RefSeq_NZ_CP063370.1	IncFII	113611	1.1.1.7.30.1186	1	1	1	7	30	1186
RefSeq_NZ_CP063430.1	IncFII	118887	1.1.1.7.30.1248	1	1	1	7	30	1248
RefSeq_NZ_CP063442.1	IncFII	85271	1.1.1.7.30.882	1	1	1	7	30	882
RefSeq_NZ_CP063481.1	IncFII	91066	1.1.1.7.30.1382	1	1	1	7	30	1382
RefSeq_NZ_CP063493.1	IncFII	101982	1.1.1.7.30.905	1	1	1	7	30	905
RefSeq_NZ_CP063701.1	IncFII	59372	1.1.1.7.30.325	1	1	1	7	30	325
RefSeq_NZ_CP063703.1	IncFII	115352	1.1.1.7.30.526	1	1	1	7	30	526
RefSeq_NZ_CP063706.1	IncFII	95694	1.1.1.7.30.1608	1	1	1	7	30	1608
RefSeq_NZ_CP063709.1	IncFII	59372	1.1.1.7.30.325	1	1	1	7	30	325
RefSeq_NZ_CP063749.1	IncFII	142252	1.1.1.7.30.1212	1	1	1	7	30	1212
RefSeq_NZ_CP063761.1	IncFII	107554	1.1.1.7.30.1313	1	1	1	7	30	1313
RefSeq_NZ_CP063763.1	IncFII	61413	1.1.1.7.30.1135	1	1	1	7	30	1135
RefSeq_NZ_CP063835.1	IncFII	128675	1.1.1.7.30.1313	1	1	1	7	30	1313
RefSeq_NZ_CP063836.1	IncFII	87095	1.1.1.7.30.1099	1	1	1	7	30	1099
RefSeq_NZ_CP063852.1	IncFII	262508	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP063857.1	IncFII	92970	1.1.1.7.30.1468	1	1	1	7	30	1468
RefSeq_NZ_CP063859.1	IncFII	262519	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP063879.1	IncFII	131081	1.1.1.7.30.951	1	1	1	7	30	951
RefSeq_NZ_CP063883.1	IncFII	109675	1.1.1.7.30.1474	1	1	1	7	30	1474
RefSeq_NZ_CP063886.1	IncFII	104834	1.1.1.7.30.1194	1	1	1	7	30	1194
RefSeq_NZ_CP063899.1	IncFII	139497	1.1.1.7.30.913	1	1	1	7	30	913
RefSeq_NZ_CP063907.1	IncFII	104836	1.1.1.7.30.1194	1	1	1	7	30	1194
RefSeq_NZ_CP063914.1	IncFII	256775	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP063924.1	IncFII	116734	1.1.1.7.30.1248	1	1	1	7	30	1248
RefSeq_NZ_CP063929.1	IncFII	190929	1.1.1.7.30.1341	1	1	1	7	30	1341
RefSeq_NZ_CP063935.1	IncFII	104836	1.1.1.7.30.1297	1	1	1	7	30	1297
RefSeq_NZ_CP063937.1	IncFII	182144	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP063940.1	IncFII	189015	1.1.1.7.30.1436	1	1	1	7	30	1436
RefSeq_NZ_CP063944.1	IncFII	104835	1.1.1.7.30.1194	1	1	1	7	30	1194
RefSeq_NZ_CP064116.1	IncFII	79219	1.1.1.7.30.781	1	1	1	7	30	781
RefSeq_NZ_CP064130.1	IncFII	75711	1.1.1.7.30.1135	1	1	1	7	30	1135
RefSeq_NZ_CP064175.1	IncFII	168672	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP064214.1	IncFII	90714	1.1.1.7.30.961	1	1	1	7	30	961
RefSeq_NZ_CP064215.1	IncFII	77551	1.1.1.7.30.1135	1	1	1	7	30	1135
RefSeq_NZ_CP064219.1	IncFII	146760	1.1.1.7.30.1083	1	1	1	7	30	1083
RefSeq_NZ_CP064220.1	IncFII	87179	1.1.1.7.30.961	1	1	1	7	30	961
RefSeq_NZ_CP064225.1	IncFII	133575	1.1.1.7.30.1500	1	1	1	7	30	1500
RefSeq_NZ_CP064226.1	IncFII	91913	1.1.1.7.30.961	1	1	1	7	30	961
RefSeq_NZ_CP064231.1	IncFII	105085	1.1.1.7.30.1248	1	1	1	7	30	1248
RefSeq_NZ_CP064234.1	IncFII	105085	1.1.1.7.30.1248	1	1	1	7	30	1248
RefSeq_NZ_CP064237.1	IncFII	165027	1.1.1.7.30.962	1	1	1	7	30	962
RefSeq_NZ_CP064238.1	IncFII	87095	1.1.1.7.30.1135	1	1	1	7	30	1135
RefSeq_NZ_CP064244.1	IncFII	87095	1.1.1.7.30.1099	1	1	1	7	30	1099
RefSeq_NZ_CP064247.1	IncFII	272092	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NZ_CP064253.1	IncFII	167834	1.1.1.7.30.1330	1	1	1	7	30	1330
