plasmid_id	inc_type	inc_confidence	length_bp	pLIN	bin_A	bin_B	bin_C	bin_D	bin_E	bin_F	nn_distance	nn_training_id	source
JN106165.1	repPae_large	82.5	48624	1.1.3.42.4562.10499	1	1	3	42	4562	10499	0.010584	NZ_CP199859.1	reference
JN106166.1	repPae_large	71.8	66550	1.1.3.42.146.10500	1	1	3	42	146	10500	0.006712	NZ_CP199859.1	reference
JN106167.1	repPae_large	56.2	74971	1.1.3.42.146.10501	1	1	3	42	146	10501	0.008909	NZ_MF168945.1	reference
JN106168.1	repPae_large	82.1	51755	1.1.3.42.146.10502	1	1	3	42	146	10502	0.009332	NZ_CP199859.1	reference
JN106169.1	repPae_large	70.0	67298	1.1.3.42.146.10503	1	1	3	42	146	10503	0.007	NZ_CP199859.1	reference
JN106170.1	repPae_large	61.1	75067	1.1.3.42.146.10504	1	1	3	42	146	10504	0.007459	NZ_PP591960.1	reference
JN106171.1	repPae_large	69.2	82401	1.1.3.42.146.10505	1	1	3	42	146	10505	0.005864	NZ_CP199859.1	reference
JN106172.1	repPae_large	82.8	55020	1.1.3.42.146.10506	1	1	3	42	146	10506	0.008542	NZ_CP199859.1	reference
JN106173.1	repPae_large	83.0	54140	1.1.3.42.146.10507	1	1	3	42	146	10507	0.008426	NZ_CP199859.1	reference
JN106174.1	repPae_large	71.5	57974	1.1.3.42.146.10508	1	1	3	42	146	10508	0.007276	NZ_CP199859.1	reference
JN106175.1	repPae_small	61.8	86438	1.1.3.42.4563.10509	1	1	3	42	4563	10509	0.012068	NZ_MF168945.1	reference
JN581942.1	repPae_large	61.5	38963	1.1.3.42.4564.10510	1	1	3	42	4564	10510	0.015931	NC_008357.1	reference
JN704639.1	IncFII	62.8	22102	1.1.3.42.150.10511	1	1	3	42	150	10511	0.008031	RefSeq_NZ_OP776642.1	reference
JNBM01000002.1	IncFII	100.0	162535	1.1.3.42.150.1874	1	1	3	42	150	1874	2e-06	RefSeq_NZ_CP115933.1	reference
JNBM01000003.1	IncX3	100.0	43387	1.1.3.42.150.1010	1	1	3	42	150	1010	5e-06	CP080655.1	reference
JNBM01000005.1	IncFII	100.0	113639	1.1.3.42.150.1896	1	1	3	42	150	1896	0.0	RefSeq_NC_025166.1	reference
JQ004406.1	repPae_small	100.0	56366	1.1.3.42.4565.10512	1	1	3	42	4565	10512	0.010997	NZ_CP096935.1	reference
JQ004407.1	repPae_small	100.0	51230	1.1.3.42.4566.10513	1	1	3	42	4566	10513	0.011061	NZ_CP096935.1	reference
JQ004408.1	repPae_small	100.0	55424	1.1.3.42.4567.10514	1	1	3	42	4567	10514	0.010658	NZ_CP096935.1	reference
JQ004409.1	repPae_small	100.0	53419	1.1.3.42.4568.10515	1	1	3	42	4568	10515	0.010547	NZ_CP096935.1	reference
JQ319769.1	IncX1	100.0	5360	1.1.3.3036.4569.10516	1	1	3	3036	4569	10516	0.039502	RefSeq_NZ_MW940620.1	reference
JQ432563.1	repPae_large	100.0	44304	1.1.3.42.4570.10517	1	1	3	42	4570	10517	0.016117	NZ_CP173144.1	reference
JQ432564.1	repPae_large	79.3	50604	1.1.3.42.4571.10518	1	1	3	42	4571	10518	0.011987	NZ_OP177693.1	reference
JQ773456.1	repEF_res	59.8	5668	1.1.911.3037.4572.10519	1	1	911	3037	4572	10519	0.052397	NZ_CP142813.1	reference
JQ773457.1	repEF_conj	39.7	4613	1.1.912.3038.4573.10520	1	1	912	3038	4573	10520	0.059017	NZ_CP050408.1	reference
JX127248.1	IncFII	100.0	164550	1.1.3.42.150.2021	1	1	3	42	150	2021	0.000908	RefSeq_NZ_MZ634325.1	reference
JX194159.1	IncX1	100.0	14573	1.1.3.3039.4574.10521	1	1	3	3039	4574	10521	0.029958	RefSeq_NZ_ON390811.1	reference
JX194160.1	repPae_large	82.9	36689	1.1.3.42.146.10522	1	1	3	42	146	10522	0.005264	NZ_AP040360.1	reference
JX194161.1	IncC	59.6	4723	1.1.3.3040.4575.10523	1	1	3	3040	4575	10523	0.047283	RefSeq_NZ_MK033499.1	reference
JX202560.1	repPae_large	100.0	2314	1.1.913.3041.4576.10524	1	1	913	3041	4576	10524	0.054771	NZ_KY494864.1	reference
JX202561.1	repPae_small	79.9	1633	1.1.914.3042.4577.10525	1	1	914	3042	4577	10525	0.079904	NZ_ON614170.1	reference
JX202562.1	repPae_small	20.1	2502	1.1.915.3043.4578.10526	1	1	915	3043	4578	10526	0.077872	NZ_KR106191.1	reference
JX202563.1	repPae_small	40.5	1934	1.101.916.3044.4579.10527	1	101	916	3044	4579	10527	0.125104	NZ_CP115212.1	reference
JX202564.1	IncN	60.2	4170	1.102.917.3045.4580.10528	1	102	917	3045	4580	10528	0.131825	RefSeq_NZ_CP078126.1	reference
JX469826.1	repPae_large	68.6	64393	1.1.3.42.146.10529	1	1	3	42	146	10529	0.005261	NZ_PP591960.1	reference
JX469827.1	repPae_large	79.7	63472	1.1.3.42.146.10530	1	1	3	42	146	10530	0.006742	NZ_PP591960.1	reference
JX469828.1	repPae_large	72.5	62099	1.1.3.42.146.10531	1	1	3	42	146	10531	0.00545	NZ_CP199859.1	reference
JX469829.1	repPae_large	72.3	58290	1.1.3.42.146.10532	1	1	3	42	146	10532	0.006424	NZ_CP199859.1	reference
JX469830.1	repPae_large	94.9	80762	1.1.3.42.146.613	1	1	3	42	146	613	0.00072	NC_008357.1	reference
JX469831.1	repPae_large	71.7	54342	1.1.3.42.146.10533	1	1	3	42	146	10533	0.007112	NZ_CP199859.1	reference
JX469833.1	repPae_large	93.1	74056	1.1.3.42.146.612	1	1	3	42	146	612	0.000812	NZ_PP591960.1	reference
JX469834.1	repPae_large	82.7	40806	1.1.3.42.4581.10534	1	1	3	42	4581	10534	0.012193	NZ_CP199859.1	reference
JX486125.1	repPae_large	71.2	61919	1.1.3.42.146.10535	1	1	3	42	146	10535	0.006119	NZ_CP199859.1	reference
JX486126.1	IncFII	100.0	87419	1.1.3.42.150.10536	1	1	3	42	150	10536	0.001486	RefSeq_NZ_CP041557.1	reference
JX843237.1	repPae_large	60.7	20914	1.1.3.42.4582.10537	1	1	3	42	4582	10537	0.015073	NZ_CP083369.1	reference
JX843238.1	repPae_large	60.3	28080	1.1.3.42.4583.10538	1	1	3	42	4583	10538	0.01086	RefSeq_NZ_OP776642.1	reference
JX863070.1	repEF_conj	79.9	5109	1.1.3.3046.4584.10539	1	1	3	3046	4584	10539	0.027622	NZ_CP176378.1	reference
KC170278.1	repPae_small	80.2	37247	1.1.3.42.4585.10540	1	1	3	42	4585	10540	0.01796	NZ_OP177693.1	reference
KC170279.1	repPae_large	69.3	53313	1.1.3.42.146.10541	1	1	3	42	146	10541	0.007637	NZ_CP199859.1	reference
KC170280.1	IncN	100.0	56683	1.1.3.42.150.10542	1	1	3	42	150	10542	0.002222	RefSeq_NZ_KU051707.1	reference
KC170281.1	IncN	40.1	33736	1.1.3.3047.4586.10543	1	1	3	3047	4586	10543	0.023505	RefSeq_NZ_CP007732.1	reference
KC170282.1	IncN	100.0	47999	1.1.3.3048.4587.10544	1	1	3	3048	4587	10544	0.025033	RefSeq_NZ_JAFIQE010000010.1	reference
KC170283.1	IncN	80.3	40596	1.1.3.42.4588.10545	1	1	3	42	4588	10545	0.010809	RefSeq_NZ_CP017632.1	reference
KC170284.1	IncA	39.9	34006	1.1.3.3049.4589.10546	1	1	3	3049	4589	10546	0.022625	NZ_OQ362291.1	reference
KC170285.1	repPae_small	53.5	37976	1.1.3.42.4590.10547	1	1	3	42	4590	10547	0.010381	NZ_CP124642.1	reference
KC734560.1	repAci_large	100.0	5779	1.1.3.3050.4591.10548	1	1	3	3050	4591	10548	0.047927	NZ_CP059387.1	reference
KC734561.1	repAci_large	79.8	12019	1.1.3.3051.4592.10549	1	1	3	3051	4592	10549	0.025966	NZ_CP040261.1	reference
KC734562.1	repAci_large	100.0	6219	1.1.3.3052.4593.10550	1	1	3	3052	4593	10550	0.042439	NZ_CP026749.2	reference
KC734563.1	repEF_conj	61.2	5031	1.1.3.3053.4594.10551	1	1	3	3053	4594	10551	0.02327	NZ_CP068131.1	reference
KC964605.1	repPae_large	52.0	58845	1.1.3.42.146.10552	1	1	3	42	146	10552	0.008511	NC_008357.1	reference
KC964606.1	repPae_large	65.9	57859	1.1.3.42.146.10553	1	1	3	42	146	10553	0.008083	NZ_PP591960.1	reference
KC964607.1	repPae_large	65.6	55475	1.1.3.42.146.10554	1	1	3	42	146	10554	0.009014	NZ_PP591960.1	reference
KF527230.1	IncC	40.3	18345	1.1.918.3054.4595.10555	1	1	918	3054	4595	10555	0.077953	NZ_MZ606384.2	reference
KJ631729.1	repPae_large	80.5	8744	1.1.3.3055.4596.10556	1	1	3	3055	4596	10556	0.032037	NZ_OX638703.1	reference
KJ631730.1	repPae_small	57.6	9344	1.1.3.42.4597.10557	1	1	3	42	4597	10557	0.018526	NZ_OX638703.1	reference
KJ631731.1	repPae_small	60.0	9042	1.1.3.3056.4598.10558	1	1	3	3056	4598	10558	0.029276	NC_008357.1	reference
KJ680225.1	repPae_large	61.3	33405	1.1.3.42.4599.10559	1	1	3	42	4599	10559	0.01086	NZ_CP199859.1	reference
KJ850907.1	repPae_small	63.2	41518	1.1.3.42.4600.10560	1	1	3	42	4600	10560	0.019752	NZ_CP124642.1	reference
KM506769.1	IncC	47.3	149696	1.1.3.42.150.1028	1	1	3	42	150	1028	0.000938	NZ_CP040039.1	reference
KM877269.1	IncN	82.6	249144	1.1.3.42.150.1396	1	1	3	42	150	1396	0.000166	RefSeq_NZ_MH459020.1	reference
KP294350.1	IncN	44.5	86948	1.1.3.42.150.10561	1	1	3	42	150	10561	0.00296	RefSeq_NZ_KM877517.1	reference
KR827391.1	IncC	45.4	177334	1.1.3.42.150.10562	1	1	3	42	150	10562	0.001802	NZ_CP040024.1	reference
KR827392.1	IncC	43.4	147957	1.1.3.42.150.1028	1	1	3	42	150	1028	0.000785	NZ_CP040039.1	reference
KR827393.1	IncAC2	82.6	166991	1.1.3.42.150.1028	1	1	3	42	150	1028	0.000332	NZ_CP031584.1	reference
KR827394.1	IncA	26.6	222486	1.1.3.42.150.10563	1	1	3	42	150	10563	0.004899	CP071789.1	reference
KT271770.1	repAci_large	100.0	30365	1.1.3.42.4601.10564	1	1	3	42	4601	10564	0.017793	NZ_CP036284.1	reference
KT317611.1	IncFII	100.0	59372	1.1.3.42.150.924	1	1	3	42	150	924	0.0	RefSeq_NZ_CP008927.1	reference
KT317613.1	IncFII	100.0	59372	1.1.3.42.150.924	1	1	3	42	150	924	3e-06	RefSeq_NZ_CP007529.1	reference
KT325596.1	repAci_large	100.0	48493	1.1.3.42.100.10565	1	1	3	42	100	10565	0.00339	NZ_CP041290.1	reference
KT351738.1	repPae_large	82.3	36017	1.1.3.42.4602.10566	1	1	3	42	4602	10566	0.013651	NZ_MF144194.1	reference
KT780723.1	IncFII	100.0	140698	1.1.3.42.150.10567	1	1	3	42	150	10567	0.002065	RefSeq_NZ_KX786187.1	reference
KT900036.1	ColRNAI	39.9	746	27.103.919.3057.4603.10568	27	103	919	3057	4603	10568	0.181671	NZ_CP123955.1	reference
KT900038.1	repPae_small	100.0	805	28.104.920.3058.4604.10569	28	104	920	3058	4604	10569	0.159363	NZ_CP171967.1	reference
KT900039.1	repPae_large	60.1	925	1.105.921.3059.4605.10570	1	105	921	3059	4605	10570	0.139644	NZ_CP025052.1	reference
KT900041.1	repPae_large	60.1	925	1.106.922.3060.4606.10571	1	106	922	3060	4606	10571	0.139644	NZ_CP025052.1	reference
KT950740.1	repPae_large	100.0	16230	1.1.3.42.4607.10572	1	1	3	42	4607	10572	0.015067	NZ_CP199804.1	reference
KT950741.1	repPae_large	78.2	16863	1.1.3.3061.4608.10573	1	1	3	3061	4608	10573	0.020183	RefSeq_NZ_JDVF01000123.1	reference
KU160531.1	IncA	38.9	175254	1.1.3.42.150.1028	1	1	3	42	150	1028	0.000288	NC_021667.1	reference
KU238092.1	repPae_large	71.9	61503	1.1.3.42.146.10574	1	1	3	42	146	10574	0.005841	NZ_CP199859.1	reference
KU351673.1	IncFII	39.4	52210	1.1.3.42.4609.10575	1	1	3	42	4609	10575	0.013996	RefSeq_NZ_MK033499.1	reference
KX863569.1	IncN	100.0	47640	1.1.3.42.150.956	1	1	3	42	150	956	0.000497	RefSeq_NZ_CP135207.1	reference
KX863570.1	IncFII	60.8	45943	1.1.3.42.150.10576	1	1	3	42	150	10576	0.003952	RefSeq_NZ_MK248692.1	reference
KY075659.1	IncN	79.2	241033	1.1.3.42.150.1396	1	1	3	42	150	1396	0.000264	RefSeq_NZ_MG014721.1	reference
KY271404.1	IncFII	100.0	227989	1.1.3.42.150.1863	1	1	3	42	150	1863	0.000158	RefSeq_NZ_CP141566.1	reference
KY494640.1	repPae_large	78.6	87665	1.1.3.3062.4610.10577	1	1	3	3062	4610	10577	0.033853	NZ_MH547561.1	reference
KY563785.1	IncX1	79.1	12473	1.1.3.42.4611.10578	1	1	3	42	4611	10578	0.014494	NZ_CP036195.1	reference
KY984045.1	repAci1	65.6	9284	1.1.3.42.4612.10579	1	1	3	42	4612	10579	0.010093	NZ_CP087595.1	reference
KY984046.1	repAci_large	79.8	11891	1.1.3.42.4613.10580	1	1	3	42	4613	10580	0.013321	NZ_CP027180.1	reference
KY984047.1	repAci_large	100.0	24808	1.1.3.42.4614.10581	1	1	3	42	4614	10581	0.010661	NZ_CP027180.1	reference
L01794.1	repEF_conj	100.0	5145	1.1.3.65.253.3026	1	1	3	65	253	3026	0.0	L01794.1	reference
LC257586.1	IncX1	45.4	152752	1.1.3.42.150.10582	1	1	3	42	150	10582	0.003276	RefSeq_NZ_OP242217.1	reference
LC257587.1	IncX1	44.1	113434	1.1.3.42.150.10583	1	1	3	42	150	10583	0.003258	RefSeq_NZ_OP242217.1	reference
LC257588.1	IncFII	80.2	109553	1.1.3.42.150.10584	1	1	3	42	150	10584	0.001794	RefSeq_NZ_KT754164.1	reference
LC257589.1	IncX1	45.4	152695	1.1.3.42.150.10585	1	1	3	42	150	10585	0.003286	RefSeq_NZ_OP242217.1	reference
LC257590.1	IncN	53.2	124344	1.1.3.42.150.10586	1	1	3	42	150	10586	0.003104	RefSeq_NZ_FR997667.1	reference
LC257591.1	IncX1	45.7	136569	1.1.3.42.150.10587	1	1	3	42	150	10587	0.003167	RefSeq_NZ_OP242217.1	reference
LC257592.1	IncFII	100.0	61067	1.1.3.42.150.10588	1	1	3	42	150	10588	0.001138	NZ_LT838198.1	reference
LC473082.1	repEF_conj	100.0	7553	1.1.3.3063.4615.10589	1	1	3	3063	4615	10589	0.027511	NZ_CP031028.1	reference
LC483178.2	IncFII	100.0	93889	1.1.3.42.150.1968	1	1	3	42	150	1968	1.8e-05	RefSeq_NZ_LC483178.1	reference
LC483179.2	IncX3	53.9	51477	1.1.3.42.150.1013	1	1	3	42	150	1013	2e-06	NZ_MG570092.1	reference
LC499744.1	repEF_conj	69.4	68368	1.1.3.42.118.10590	1	1	3	42	118	10590	0.001854	NZ_CP197295.1	reference
LC521833.1	IncX3	100.0	51463	1.1.3.42.150.792	1	1	3	42	150	792	5.9e-05	NZ_CP053726.1	reference
LC521834.1	IncFII	100.0	175820	1.1.3.42.150.1863	1	1	3	42	150	1863	3.4e-05	RefSeq_NZ_CP102994.1	reference
LC521835.1	IncFII	80.7	152756	1.1.3.42.150.1888	1	1	3	42	150	1888	0.000879	RefSeq_NC_022609.1	reference
LC521836.1	IncFII	100.0	102023	1.1.3.42.150.10591	1	1	3	42	150	10591	0.001062	RefSeq_NZ_CP085070.1	reference
LC521837.1	IncN	100.0	41181	1.1.3.42.150.947	1	1	3	42	150	947	3e-06	RefSeq_NC_019163.1	reference
LC521838.1	IncFII	100.0	102015	1.1.3.42.150.10592	1	1	3	42	150	10592	0.001063	RefSeq_NZ_CP085070.1	reference
LC521839.1	IncFII	58.4	92204	1.1.3.42.150.10593	1	1	3	42	150	10593	0.00246	RefSeq_NZ_MT407546.1	reference
LC521840.1	IncHI1	48.0	274410	1.1.3.42.150.1393	1	1	3	42	150	1393	0.000762	NZ_CP059469.1	reference
LC521841.1	IncFII	84.1	152332	1.1.3.42.150.1970	1	1	3	42	150	1970	0.000849	RefSeq_NZ_CP131917.1	reference
LC521842.1	IncFII	100.0	156037	1.1.3.42.150.10594	1	1	3	42	150	10594	0.001035	RefSeq_NZ_CP025708.1	reference
LC521843.1	IncFII	100.0	151503	1.1.3.42.150.10595	1	1	3	42	150	10595	0.001084	RefSeq_NZ_CP107063.1	reference
LC521844.1	IncFII	100.0	108173	1.1.3.42.150.1968	1	1	3	42	150	1968	1e-05	RefSeq_NZ_AP023225.1	reference
LC521845.1	IncFII	79.0	54064	1.1.3.42.150.10596	1	1	3	42	150	10596	0.003379	RefSeq_NZ_CP135509.1	reference
LC521846.1	IncFII	100.0	156037	1.1.3.42.150.1970	1	1	3	42	150	1970	0.00095	RefSeq_NZ_CP025708.1	reference
LC521847.1	IncC	45.7	172689	1.1.3.42.150.1028	1	1	3	42	150	1028	0.000642	NZ_CP040034.1	reference
LC521848.1	IncX3	100.0	61114	1.1.3.42.150.795	1	1	3	42	150	795	0.000817	CP052768.1	reference
LC521849.1	IncHI1	65.8	296678	1.1.3.42.150.1393	1	1	3	42	150	1393	0.000167	NZ_CP059469.1	reference
LC521850.1	ColRNAI	100.0	6141	1.1.3.42.57.70	1	1	3	42	57	70	0.0	NZ_CP050165.1	reference
LC521851.1	IncFII	100.0	116295	1.1.3.42.150.1593	1	1	3	42	150	1593	0.000238	RefSeq_NZ_CP024039.1	reference
LC521852.1	IncFII	100.0	289928	1.1.3.42.150.1034	1	1	3	42	150	1034	0.00068	RefSeq_NZ_CP023948.1	reference
LC521853.1	IncC	44.5	208885	1.1.3.42.150.1028	1	1	3	42	150	1028	0.000783	NZ_CP040034.1	reference
LC521854.1	IncFII	100.0	191853	1.1.3.42.150.1898	1	1	3	42	150	1898	0.00094	RefSeq_NZ_AP018830.1	reference
LC546831.1	IncFII	80.4	78913	1.1.3.42.150.10597	1	1	3	42	150	10597	0.006832	RefSeq_NZ_OW970445.1	reference
LC553463.1	IncFII	100.0	94901	1.1.3.42.150.10598	1	1	3	42	150	10598	0.002477	RefSeq_NZ_CP124406.1	reference
LC553464.1	IncFII	100.0	79974	1.1.3.42.150.10599	1	1	3	42	150	10599	0.00172	NZ_CP140475.1	reference
LC567050.1	IncI1	74.0	106153	1.1.3.42.150.1093	1	1	3	42	150	1093	0.000546	NZ_MH422553.1	reference
LC567051.1	IncI1	47.4	116105	1.1.3.42.150.1097	1	1	3	42	150	1097	0.000766	NZ_CP138482.1	reference
LC567052.1	IncI1	80.8	99602	1.1.3.42.150.1090	1	1	3	42	150	1090	0.000885	NZ_CP134392.1	reference
LC567053.1	IncI1	100.0	89476	1.1.3.42.150.1090	1	1	3	42	150	1090	2e-05	NZ_CP134365.1	reference
LC567054.1	IncI1	79.4	91143	1.1.3.42.150.1090	1	1	3	42	150	1090	0.000833	NZ_CP085621.1	reference
LC567055.1	IncI1	100.0	92584	1.1.3.42.150.1090	1	1	3	42	150	1090	0.000533	NZ_CP128262.1	reference
LC567056.1	IncI1	67.5	105327	1.1.3.42.150.1092	1	1	3	42	150	1092	0.000403	NZ_MW390513.1	reference
LC567057.1	IncI1	100.0	104027	1.1.3.42.150.1090	1	1	3	42	150	1090	0.000498	NZ_OR797031.1	reference
LC567058.1	IncI1	67.1	108830	1.1.3.42.150.1092	1	1	3	42	150	1092	0.000537	NZ_MW390513.1	reference
LC567059.1	IncI1	100.0	97933	1.1.3.42.150.1093	1	1	3	42	150	1093	0.00093	NZ_MH422553.1	reference
LC567060.1	IncI1	82.4	106223	1.1.3.42.150.1090	1	1	3	42	150	1090	0.000619	NZ_MN540570.1	reference
LC567061.1	IncI1	100.0	112637	1.1.3.42.150.10600	1	1	3	42	150	10600	0.001003	NZ_CP138482.1	reference
LC567062.1	IncI1	74.9	87299	1.1.3.42.150.1090	1	1	3	42	150	1090	0.000412	NZ_CP085700.1	reference
LC567063.1	IncI	62.4	86191	1.1.3.42.150.1090	1	1	3	42	150	1090	2.4e-05	NZ_CP135648.1	reference
LC567064.1	IncI1	54.7	123379	1.1.3.42.150.10601	1	1	3	42	150	10601	0.001016	RefSeq_NZ_CP067233.1	reference
LC567065.1	IncI	75.7	86191	1.1.3.42.150.1090	1	1	3	42	150	1090	1.5e-05	NZ_CP135648.1	reference
LC567066.1	IncI1	80.5	87298	1.1.3.42.150.2451	1	1	3	42	150	2451	0.000762	NZ_MN125610.1	reference
LC567067.1	IncI1	74.2	87299	1.1.3.42.150.1090	1	1	3	42	150	1090	0.000424	NZ_CP085700.1	reference
LC567068.1	IncI1	79.1	87540	1.1.3.42.150.1090	1	1	3	42	150	1090	0.000725	NZ_CP085621.1	reference
LC567069.1	IncI	45.4	129994	1.1.3.42.150.10602	1	1	3	42	150	10602	0.002058	NZ_MW390535.1	reference
LC567070.1	IncI1	74.2	87299	1.1.3.42.150.1090	1	1	3	42	150	1090	0.000424	NZ_CP085700.1	reference
LC567071.1	IncI1	78.5	88536	1.1.3.42.150.1090	1	1	3	42	150	1090	0.000661	NZ_CP085621.1	reference
LC567072.1	IncI1	100.0	86204	1.1.3.42.150.1090	1	1	3	42	150	1090	0.00039	NZ_CP134381.1	reference
LC567073.1	IncI1	100.0	94912	1.1.3.42.150.1090	1	1	3	42	150	1090	1.8e-05	NZ_CP134386.1	reference
LC567074.1	IncI1	80.2	101264	1.1.3.42.150.1097	1	1	3	42	150	1097	0.000916	NZ_CP138482.1	reference
LC567075.1	IncI1	75.2	87340	1.1.3.42.150.1090	1	1	3	42	150	1090	0.000424	NZ_CP085700.1	reference
LC567076.1	IncI1	75.3	86970	1.1.3.42.150.1090	1	1	3	42	150	1090	0.000445	NZ_CP085700.1	reference
LC567077.1	IncI1	75.7	88656	1.1.3.42.150.1090	1	1	3	42	150	1090	0.000495	NZ_CP085700.1	reference
LC567078.1	IncI1	74.2	87307	1.1.3.42.150.1090	1	1	3	42	150	1090	0.000425	NZ_CP085700.1	reference
LC567079.1	IncI1	100.0	101632	1.1.3.42.150.10603	1	1	3	42	150	10603	0.001004	NZ_MH422553.1	reference
LC567080.1	IncI1	100.0	91926	1.1.3.42.150.1090	1	1	3	42	150	1090	5.8e-05	NZ_CP134359.1	reference
LC567081.1	IncI1	74.7	91115	1.1.3.42.150.1090	1	1	3	42	150	1090	0.000289	NZ_CP085621.1	reference
LC567082.1	IncI1	73.5	91134	1.1.3.42.150.1090	1	1	3	42	150	1090	0.000273	NZ_CP085621.1	reference
LC567083.1	IncI1	45.2	109957	1.1.3.42.150.1092	1	1	3	42	150	1092	0.00035	NZ_MW390513.1	reference
LC567084.1	IncI	52.6	109827	1.1.3.42.150.1092	1	1	3	42	150	1092	0.000227	NZ_MW390513.1	reference
LC567085.1	IncI1	100.0	89476	1.1.3.42.150.1090	1	1	3	42	150	1090	1.2e-05	NZ_CP134355.1	reference
LC567086.1	IncI1	100.0	89147	1.1.3.42.150.1090	1	1	3	42	150	1090	1.7e-05	NZ_CP134355.1	reference
LC567087.1	IncI1	100.0	89476	1.1.3.42.150.1090	1	1	3	42	150	1090	8e-06	NZ_CP134355.1	reference
LC567088.1	IncI1	100.0	92049	1.1.3.42.150.1090	1	1	3	42	150	1090	3.6e-05	NZ_CP134372.1	reference
LC567089.1	IncI1	77.5	93395	1.1.3.42.150.2451	1	1	3	42	150	2451	0.000912	RefSeq_NZ_CP062977.1	reference
LC567090.1	IncI1	76.5	108158	1.1.3.42.150.1093	1	1	3	42	150	1093	0.000607	NZ_MH422553.1	reference
LC567091.1	IncI1	81.4	97607	1.1.3.42.150.1090	1	1	3	42	150	1090	0.000532	NZ_CP134392.1	reference
LC567092.1	IncI1	79.7	86016	1.1.3.42.150.1090	1	1	3	42	150	1090	0.000872	NZ_CP085621.1	reference
LC567093.1	IncI	63.7	113140	1.1.3.42.150.1092	1	1	3	42	150	1092	0.000746	NZ_MW390513.1	reference
LC567094.1	IncI1	65.4	107498	1.1.3.42.150.1092	1	1	3	42	150	1092	0.000468	NZ_MW390513.1	reference
LC567095.1	IncI	45.2	129370	1.1.3.42.150.10604	1	1	3	42	150	10604	0.002065	NZ_MW390535.1	reference
LC567096.1	IncI1	78.7	88544	1.1.3.42.150.1090	1	1	3	42	150	1090	0.000706	NZ_CP085621.1	reference
LC567097.1	IncI1	58.7	114151	1.1.3.42.150.1092	1	1	3	42	150	1092	0.000318	NZ_MW390513.1	reference
LC567098.1	IncI1	78.1	108776	1.1.3.42.150.1091	1	1	3	42	150	1091	0.000962	NZ_CP128878.1	reference
LC567099.1	IncI1	100.0	89476	1.1.3.42.150.1090	1	1	3	42	150	1090	1.5e-05	NZ_CP134365.1	reference
LC602695.1	IncFII	72.3	91016	1.1.3.42.150.10605	1	1	3	42	150	10605	0.002244	RefSeq_NZ_KM877517.1	reference
LC602696.1	IncFII	72.3	91016	1.1.3.42.150.10606	1	1	3	42	150	10606	0.002244	RefSeq_NZ_KM877517.1	reference
LC602697.1	IncFII	72.3	91016	1.1.3.42.150.10607	1	1	3	42	150	10607	0.002244	RefSeq_NZ_KM877517.1	reference
LC602698.1	IncFII	72.3	91016	1.1.3.42.150.10608	1	1	3	42	150	10608	0.002244	RefSeq_NZ_KM877517.1	reference
LC602699.1	IncFII	72.3	91016	1.1.3.42.150.10609	1	1	3	42	150	10609	0.002244	RefSeq_NZ_KM877517.1	reference
LC602700.1	IncFII	72.3	91016	1.1.3.42.150.10610	1	1	3	42	150	10610	0.002244	RefSeq_NZ_KM877517.1	reference
LC603215.1	IncFII	100.0	94839	1.1.3.42.150.1442	1	1	3	42	150	1442	0.000857	RefSeq_NZ_LR595692.1	reference
LC605646.1	IncFII	80.4	78883	1.1.3.42.150.10611	1	1	3	42	150	10611	0.006831	RefSeq_NZ_OW970445.1	reference
LC605996.1	IncFII	80.4	78898	1.1.3.42.150.10612	1	1	3	42	150	10612	0.006831	RefSeq_NZ_OW970445.1	reference
LC613142.1	IncFII	100.0	118761	1.1.3.42.150.1968	1	1	3	42	150	1968	0.000345	RefSeq_NZ_AP023225.1	reference
LC613143.1	IncC	45.7	172648	1.1.3.42.150.1028	1	1	3	42	150	1028	0.000644	NZ_CP040034.1	reference
LC613144.1	IncX1	59.8	100591	1.1.3.42.150.10613	1	1	3	42	150	10613	0.003055	RefSeq_NZ_CP018220.1	reference
LC613145.1	IncN	100.0	44859	1.1.3.42.150.10614	1	1	3	42	150	10614	0.002659	RefSeq_NZ_MZ004973.1	reference
LC613146.1	IncFII	100.0	173173	1.1.3.42.150.1863	1	1	3	42	150	1863	2.4e-05	RefSeq_NZ_CP102994.1	reference
LC613147.1	IncFII	100.0	125297	1.1.3.42.150.1593	1	1	3	42	150	1593	0.0	RefSeq_NZ_CP102548.1	reference
LC613148.1	ColRNAI	100.0	6141	1.1.3.42.57.70	1	1	3	42	57	70	2.4e-05	NZ_CP050165.1	reference
LC620533.1	IncFII	57.7	103535	1.1.3.42.150.10615	1	1	3	42	150	10615	0.003065	NZ_MF174860.1	reference
LC620534.1	IncFII	42.2	110796	1.1.3.42.150.10616	1	1	3	42	150	10616	0.005361	NZ_MG825371.1	reference
LC620535.1	IncFII	59.9	169982	1.1.3.42.150.10617	1	1	3	42	150	10617	0.001708	NZ_AP025658.1	reference
LC620536.1	IncN	60.5	20476	1.1.3.42.4616.10618	1	1	3	42	4616	10618	0.010902	CP052872.1	reference
LC621169.1	repPae_small	100.0	59060	1.1.3.42.146.10619	1	1	3	42	146	10619	0.007131	NZ_KU578314.1	reference
LC622104.1	IncFII	100.0	60311	1.1.3.42.150.10620	1	1	3	42	150	10620	0.003304	RefSeq_NZ_MT560073.1	reference
