plasmid_id	inc_type	inc_confidence	length_bp	pLIN	bin_A	bin_B	bin_C	bin_D	bin_E	bin_F	source	inc_secondary	is_novel
NZ_CP086014.1	IncAC2	0.5783	412187	2.3.5.13.32.149	2	3	5	13	32	149	reference		False
NZ_CP085307.1	IncAC2	0.5952	616502	2.3.5.9.9.20	2	3	5	9	9	20	reference		False
NZ_CP085306.1	IncAC2	0.5942	114740	2.3.5.9.9.26	2	3	5	9	9	26	reference	IncFIB(0.41)	False
NZ_CP085304.1	IncAC2	0.595	276260	2.3.5.9.9.22	2	3	5	9	9	22	reference	IncFIB(0.40)	False
NZ_CP085302.1	IncAC2	0.5927	572393	2.3.5.9.9.21	2	3	5	9	9	21	reference		False
NZ_MZ475707.1	IncAC2	0.6494	100733	2.3.5.13.32.118	2	3	5	13	32	118	reference		False
NZ_CP085343.1	IncAC2	0.8011	21460	2.3.5.10.10.36	2	3	5	10	10	36	reference		False
NZ_CP085342.1	IncAC2	0.5972	187923	2.3.5.9.9.30	2	3	5	9	9	30	reference		False
NZ_CP085341.1	IncAC2	0.59	270724	2.3.5.9.9.25	2	3	5	9	9	25	reference	IncFIB(0.41)	False
NZ_CP085339.1	IncAC2	0.5938	599015	2.3.5.9.9.23	2	3	5	9	9	23	reference		False
NZ_CP085333.1	IncAC2	0.5979	338577	2.3.5.9.9.28	2	3	5	9	9	28	reference	IncFIB(0.40)	False
NZ_CP085331.1	IncAC2	0.5965	212646	2.3.5.9.9.24	2	3	5	9	9	24	reference	IncFIB(0.40)	False
NZ_CP085531.1	IncAC2	0.8139	164538	2.3.5.13.32.179	2	3	5	13	32	179	reference		False
NZ_CP038666.1	IncAC2	0.5942	45503	2.3.5.13.29.64	2	3	5	13	29	64	reference		False
NZ_CP038990.1	IncAC2	0.5942	45503	2.3.5.13.29.64	2	3	5	13	29	64	reference		False
NZ_CP038986.1	IncAC2	0.5918	43155	2.3.5.13.29.64	2	3	5	13	29	64	reference		False
NZ_CP038982.1	IncAC2	0.5934	46549	2.3.5.13.29.64	2	3	5	13	29	64	reference		False
NZ_CP038978.1	IncAC2	0.5942	45503	2.3.5.13.29.64	2	3	5	13	29	64	reference		False
NZ_CP038994.1	IncAC2	0.7928	51683	2.3.5.13.29.65	2	3	5	13	29	65	reference		False
NZ_MZ670000.1	IncAC2	0.61	166671	2.3.5.13.32.91	2	3	5	13	32	91	reference		False
NZ_CP084094.1	IncAC2	0.7972	4491	2.3.10.42.90.247	2	3	10	42	90	247	reference		False
NZ_CP084214.1	IncAC2	0.6132	75135	2.3.5.13.32.160	2	3	5	13	32	160	reference		False
NZ_CP083939.1	IncAC2	0.6107	138008	2.3.5.13.32.81	2	3	5	13	32	81	reference		False
NZ_CP083367.1	IncAC2	0.5765	318215	2.3.5.13.32.149	2	3	5	13	32	149	reference		False
NZ_CP083668.1	IncAC2	0.6002	149551	2.3.5.9.9.16	2	3	5	9	9	16	reference	IncFIB(0.40)	False
NZ_CP082956.1	IncAC2	0.5566	152282	2.3.5.13.32.112	2	3	5	13	32	112	reference		False
CP082546.1	IncAC2	0.6065	146581	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncC(0.39)	False
CP082616.1	IncAC2	0.647	180114	2.3.5.13.32.95	2	3	5	13	32	95	reference		False
CP082599.1	IncAC2	0.4273	123445	2.3.5.13.32.112	2	3	5	13	32	112	reference	IncC(0.27)	False
CP082373.1	IncAC2	0.4078	157473	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncA(0.41)	False
CP082737.1	IncAC2	0.8838	144357	2.3.5.13.32.108	2	3	5	13	32	108	reference		False
CP082428.1	IncAC2	0.4425	158456	2.3.5.13.32.112	2	3	5	13	32	112	reference	IncFII(0.31)	False
CP082407.1	IncAC2	0.499	172678	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncA(0.33)	False
CP082410.1	IncAC2	0.5401	180904	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncA(0.28)	False
CP082440.1	IncAC2	0.4128	123445	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncC(0.35)	False
CP082437.1	IncAC2	0.7931	146222	2.3.5.13.32.91	2	3	5	13	32	91	reference		False
CP082452.1	IncAC2	0.6034	148008	2.3.5.13.32.91	2	3	5	13	32	91	reference		False
CP082513.1	IncAC2	0.8103	176970	2.3.5.13.32.101	2	3	5	13	32	101	reference		False
NZ_CP064402.1	IncAC2	0.5694	392244	2.3.5.13.32.148	2	3	5	13	32	148	reference		False
NZ_CP077978.1	IncAC2	0.7745	397554	2.3.5.13.32.148	2	3	5	13	32	148	reference		False
NZ_CP082173.1	IncAC2	0.6383	173509	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncC(0.36)	False
NZ_CP064404.1	IncAC2	0.7744	396963	2.3.5.13.32.148	2	3	5	13	32	148	reference		False
NZ_CP081950.1	IncAC2	0.5978	1416	2.4.20.52.100.257	2	4	20	52	100	257	reference	IncA(0.40)	False
NZ_AP024125.1	IncAC2	0.8043	74684	2.3.5.13.32.108	2	3	5	13	32	108	reference		False
NZ_CP080541.1	IncAC2	0.5654	178134	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncA(0.28)	False
NZ_CP080264.1	IncAC2	0.5804	113140	2.3.5.13.32.112	2	3	5	13	32	112	reference	IncFII(0.26)	False
NZ_CP061377.1	IncAC2	0.573	486963	2.3.5.13.32.149	2	3	5	13	32	149	reference		False
NZ_CP079631.1	IncAC2	0.4737	197458	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncC(0.37)	False
NZ_CP079626.1	IncAC2	0.4737	197458	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncC(0.37)	False
NZ_CP077088.1	IncAC2	0.6009	3833	2.3.9.41.89.246	2	3	9	41	89	246	reference		False
NZ_CP077364.1	IncAC2	0.5967	3830	2.3.5.31.79.236	2	3	5	31	79	236	reference		False
NZ_CP077222.1	IncAC2	0.5995	113265	2.3.5.13.30.66	2	3	5	13	30	66	reference		False
NZ_CP077202.1	IncAC2	0.588	161384	2.3.5.13.32.79	2	3	5	13	32	79	reference		False
NZ_CP054399.1	IncAC2	0.5632	147763	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncC(0.44)	False
NZ_CP054408.1	IncAC2	0.5634	147764	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncC(0.44)	False
NZ_CP054402.1	IncAC2	0.5636	147763	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncC(0.44)	False
NZ_CP054405.1	IncAC2	0.5633	147761	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncC(0.44)	False
NZ_MT682138.1	IncAC2	0.617	190205	2.3.5.13.32.91	2	3	5	13	32	91	reference		False
NZ_CP059845.1	IncAC2	0.7907	2015	2.3.13.45.93.250	2	3	13	45	93	250	reference		False
CP053880.1	IncAC2	0.5994	117774	2.3.5.13.30.67	2	3	5	13	30	67	reference		False
NZ_CP036144.1	IncAC2	0.4009	1596	2.3.19.51.99.256	2	3	19	51	99	256	reference	IncC(0.40)	False
NZ_CP030304.1	IncAC2	0.6231	153373	2.3.5.13.32.91	2	3	5	13	32	91	reference		False
NZ_CP047313.1	IncAC2	0.5859	388915	2.3.5.13.32.153	2	3	5	13	32	153	reference		False
NZ_CP047312.1	IncAC2	0.5774	504084	2.3.5.13.32.149	2	3	5	13	32	149	reference		False
NZ_CP071071.1	IncAC2	0.4442	166860	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncC(0.44)	False
NZ_CP073083.1	IncAC2	0.7678	436486	2.3.5.13.32.148	2	3	5	13	32	148	reference		False
NZ_CP073081.1	IncAC2	0.565	463517	2.3.5.13.32.148	2	3	5	13	32	148	reference		False
NZ_CP073372.1	IncAC2	0.5965	139649	2.3.5.9.9.9	2	3	5	9	9	9	reference		False
NZ_CP073913.1	IncAC2	0.6062	24235	2.3.5.13.28.62	2	3	5	13	28	62	reference		False
CP074336.1	IncAC2	0.6301	210959	2.3.5.13.32.119	2	3	5	13	32	119	reference	IncFII(0.37)	False
NZ_CP021835.1	IncAC2	0.6749	210045	2.3.5.13.32.102	2	3	5	13	32	102	reference		False
NZ_CP021853.1	IncAC2	0.8119	180262	2.3.5.13.32.91	2	3	5	13	32	91	reference		False
NZ_CP021695.1	IncAC2	0.6804	214441	2.3.5.13.32.116	2	3	5	13	32	116	reference	IncFII(0.32)	False
NZ_CP021253.1	IncAC2	0.6165	25501	2.3.5.13.27.59	2	3	5	13	27	59	reference		False
NZ_CP020932.1	IncAC2	0.4144	243268	2.3.5.13.32.189	2	3	5	13	32	189	reference	IncFII(0.41)	False
NZ_CP020049.1	IncAC2	0.4012	141885	2.3.5.13.32.112	2	3	5	13	32	112	reference	IncC(0.33)	False
NZ_CP018956.1	IncAC2	0.6333	216226	2.3.5.13.32.103	2	3	5	13	32	103	reference		False
CP014295.1	IncAC2	0.4006	137267	2.3.5.13.32.112	2	3	5	13	32	112	reference	IncC(0.27)	False
NZ_CP015394.1	IncAC2	0.4207	154343	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncC(0.39)	False
NZ_CP019242.1	IncAC2	0.5915	107251	2.3.5.13.32.180	2	3	5	13	32	180	reference		False
NZ_CP012412.2	IncAC2	0.6032	4447	2.3.3.4.4.4	2	3	3	4	4	4	reference		False
NZ_CP018174.1	IncAC2	0.6033	4447	2.3.3.4.4.4	2	3	3	4	4	4	reference		False
NZ_CP017011.1	IncAC2	0.7965	55944	2.3.5.13.32.77	2	3	5	13	32	77	reference		False
NZ_CP018048.1	IncAC2	0.5478	317349	2.3.5.13.32.167	2	3	5	13	32	167	reference	IncA(0.26)	False
NZ_CP017055.1	IncAC2	0.5774	195378	2.3.5.13.32.122	2	3	5	13	32	122	reference		False
NZ_CP016215.1	IncAC2	0.577	423017	2.3.5.13.32.149	2	3	5	13	32	149	reference		False
NZ_CP015879.1	IncAC2	0.7779	370338	2.3.5.13.32.148	2	3	5	13	32	148	reference		False
NZ_CP015084.1	IncAC2	0.5931	61707	2.3.5.13.29.64	2	3	5	13	29	64	reference		False
NZ_CP014978.1	IncAC2	0.6092	147296	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncC(0.39)	False
NZ_CP014658.1	IncAC2	0.7705	160227	2.3.5.13.32.91	2	3	5	13	32	91	reference		False
NZ_CP015139.1	IncAC2	0.4289	186826	2.3.5.13.32.112	2	3	5	13	32	112	reference	IncC(0.26)	False
NZ_CP013201.1	IncAC2	0.575	11169	2.3.5.21.69.226	2	3	5	21	69	226	reference		False
NZ_CP011540.1	IncAC2	0.8155	174066	2.3.5.13.32.91	2	3	5	13	32	91	reference		False
NZ_CP013125.1	IncAC2	0.5588	252328	2.3.5.13.32.163	2	3	5	13	32	163	reference		False
NZ_CP014329.1	IncAC2	0.5921	48334	2.3.5.13.31.68	2	3	5	13	31	68	reference	IncFII(0.41)	False
NZ_CP013746.1	IncAC2	0.5732	194226	2.3.5.13.32.186	2	3	5	13	32	186	reference		False
KR827393.1	IncAC2	0.8258	166991	2.3.5.13.32.91	2	3	5	13	32	91	reference		False
NZ_CP009221.1	IncAC2	0.5962	31005	2.3.5.13.31.69	2	3	5	13	31	69	reference		False
NZ_CP010360.2	IncAC2	0.7518	141402	2.3.5.13.32.169	2	3	5	13	32	169	reference		False
NZ_CP011951.1	IncAC2	0.8031	35465	2.3.5.9.9.35	2	3	5	9	9	35	reference		False
NZ_CP011950.1	IncAC2	0.5924	113655	2.3.5.9.9.17	2	3	5	9	9	17	reference	IncFIB(0.41)	False
NZ_CP010533.1	IncAC2	0.5985	104322	2.3.5.9.9.11	2	3	5	9	9	11	reference	IncFII(0.40)	False
NZ_CP010532.1	IncAC2	0.5934	116496	2.3.5.9.9.10	2	3	5	9	9	10	reference		False
NZ_CP010373.2	IncAC2	0.4952	193908	2.3.5.13.32.126	2	3	5	13	32	126	reference	IncFII(0.36)	False
NZ_CP009567.1	IncAC2	0.4861	158521	2.3.5.13.32.112	2	3	5	13	32	112	reference		False
NZ_CP009620.1	IncAC2	0.5731	319400	2.3.5.13.21.50	2	3	5	13	21	50	reference		False
NZ_CP007791.1	IncAC2	0.5723	25857	2.3.5.13.52.209	2	3	5	13	52	209	reference	IncFII(0.43)	False
NZ_CP006029.1	IncAC2	0.584	64561	2.3.5.13.32.105	2	3	5	13	32	105	reference		False
NZ_CP007137.1	IncAC2	0.5842	64562	2.3.5.13.32.105	2	3	5	13	32	105	reference		False
NZ_CP007636.1	IncAC2	0.5722	167267	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncA(0.26)	False
NC_023898.1	IncAC2	0.738	170613	2.3.5.13.32.91	2	3	5	13	32	91	reference		False
NC_022652.1	IncAC2	0.7024	151885	2.3.5.13.32.91	2	3	5	13	32	91	reference		False
NC_021212.1	IncAC2	0.5976	39583	2.3.5.13.33.190	2	3	5	13	33	190	reference		False
NC_020180.1	IncAC2	0.8066	162202	2.3.5.13.32.91	2	3	5	13	32	91	reference		False
NC_019937.1	IncAC2	0.7909	12763	2.3.5.18.66.223	2	3	5	18	66	223	reference		False
NC_019380.1	IncAC2	1.0	165906	2.3.5.13.32.91	2	3	5	13	32	91	reference		False
NC_019375.1	IncAC2	0.5464	180184	2.3.5.13.32.112	2	3	5	13	32	112	reference	IncFII(0.34)	False
NC_019329.1	IncAC2	0.6415	10588	2.3.5.13.58.215	2	3	5	13	58	215	reference		False
NC_019363.1	IncAC2	0.6015	4409	2.3.5.22.70.227	2	3	5	22	70	227	reference		False
NC_019121.1	IncAC2	0.5477	165791	2.3.5.13.32.112	2	3	5	13	32	112	reference	IncFII(0.31)	False
NC_019107.1	IncAC2	0.5565	173673	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncA(0.28)	False
NC_017645.1	IncAC2	0.5711	160573	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncA(0.25)	False
NC_016976.1	IncAC2	0.8146	170810	2.3.5.13.32.91	2	3	5	13	32	91	reference		False
NC_015855.1	IncAC2	0.5618	133451	2.3.5.13.32.147	2	3	5	13	32	147	reference		False
NC_015060.1	IncAC2	0.5755	115221	2.3.5.13.32.73	2	3	5	13	32	73	reference		False
NC_015059.1	IncAC2	0.6325	115493	2.3.5.13.32.74	2	3	5	13	32	74	reference		False
NC_015058.1	IncAC2	0.5945	188167	2.3.5.13.32.70	2	3	5	13	32	70	reference	IncFII(0.41)	False
NC_014548.1	IncAC2	0.5985	8528	2.3.5.13.61.218	2	3	5	13	61	218	reference		False
NC_014149.1	IncAC2	0.5836	37010	2.3.5.20.68.225	2	3	5	20	68	225	reference	IncA(0.42)	False
NC_013726.1	IncAC2	0.6063	24235	2.3.5.13.28.62	2	3	5	13	28	62	reference		False
GQ254849.1	IncAC2	0.6	20534	2.3.5.36.84.241	2	3	5	36	84	241	reference	IncA(0.40)	False
NC_010813.1	IncAC2	0.6145	29037	2.3.5.13.27.60	2	3	5	13	27	60	reference		False
NC_010243.1	IncAC2	0.6037	4447	2.3.3.4.4.4	2	3	3	4	4	4	reference		False
NC_009444.1	IncAC2	0.8267	425094	2.3.5.13.32.145	2	3	5	13	32	145	reference		False
NC_009140.1	IncAC2	0.5159	176473	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncA(0.29)	False
NC_008739.1	IncAC2	0.6053	213290	2.3.5.13.32.87	2	3	5	13	32	87	reference		False
NC_008389.1	IncAC2	0.5963	5824	2.3.5.25.73.230	2	3	5	25	73	230	reference		False
NC_008388.1	IncAC2	0.5987	16575	2.3.5.13.57.214	2	3	5	13	57	214	reference	IncFII(0.40)	False
NC_007901.1	IncAC2	0.7903	257447	2.3.5.13.32.182	2	3	5	13	32	182	reference		False
NC_007595.1	IncAC2	0.5914	46366	2.3.5.12.14.42	2	3	5	12	14	42	reference	IncA(0.41)	False
NZ_CP044962.1	IncAC2	0.7028	126750	2.3.5.13.32.98	2	3	5	13	32	98	reference		False
NZ_CP044142.1	IncAC2	0.6249	152532	2.3.5.13.32.91	2	3	5	13	32	91	reference		False
NZ_CP044189.1	IncAC2	0.5892	90935	2.3.5.13.32.112	2	3	5	13	32	112	reference		False
NZ_CP031503.1	IncAC2	0.5884	46159	2.3.5.13.29.63	2	3	5	13	29	63	reference		False
NZ_CP020524.1	IncAC2	0.4536	177196	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncC(0.35)	False
CP042646.1	IncAC2	0.4797	184695	2.3.5.13.32.117	2	3	5	13	32	117	reference	IncA(0.35)	False
NZ_CP041641.1	IncAC2	0.7404	144138	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncC(0.26)	False
LR606146.1	IncAC2	0.5925	1022	2.2.2.2.2.2	2	2	2	2	2	2	reference		False
LR606145.1	IncAC2	0.5922	1023	2.2.2.3.3.3	2	2	2	3	3	3	reference		False
NZ_CP041172.1	IncAC2	0.584	153516	2.3.5.13.32.100	2	3	5	13	32	100	reference		False
NZ_CP034781.1	IncAC2	0.5962	47564	2.3.5.13.32.176	2	3	5	13	32	176	reference		False
NZ_CP040126.1	IncAC2	0.5764	395774	2.3.5.13.32.149	2	3	5	13	32	149	reference		False
NZ_CP039372.1	IncAC2	0.5835	114265	2.3.5.13.32.161	2	3	5	13	32	161	reference		False
NZ_CP039294.1	IncAC2	0.7728	414954	2.3.5.13.32.148	2	3	5	13	32	148	reference		False
NZ_CP038464.1	IncAC2	0.5383	165134	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncA(0.29)	False
NZ_CP038466.1	IncAC2	0.5385	165134	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncA(0.29)	False
AP019515.1	IncAC2	0.6085	273549	2.3.5.13.32.184	2	3	5	13	32	184	reference		False
NZ_CP025275.1	IncAC2	0.4657	125113	2.3.5.13.32.112	2	3	5	13	32	112	reference	IncFII(0.38)	False
NZ_CP025240.1	IncAC2	0.6058	146581	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncC(0.39)	False
NZ_CP034144.1	IncAC2	0.4076	31324	2.3.5.19.67.224	2	3	5	19	67	224	reference	IncFII(0.38)	False
CP028419.1	IncAC2	0.4682	165121	2.3.5.13.32.112	2	3	5	13	32	112	reference	IncFII(0.26)	False
NZ_AP018719.1	IncAC2	0.7757	149340	2.3.5.13.32.178	2	3	5	13	32	178	reference		False
NZ_CP034081.1	IncAC2	0.5893	39003	2.3.5.13.38.195	2	3	5	13	38	195	reference		False
NZ_CP034119.1	IncAC2	0.5945	44983	2.3.5.35.83.240	2	3	5	35	83	240	reference		False
NZ_CP032678.1	IncAC2	0.5831	904163	2.3.5.13.32.181	2	3	5	13	32	181	reference		False
NZ_CP016851.1	IncAC2	0.5864	56859	2.3.5.13.32.188	2	3	5	13	32	188	reference		False
NZ_CP032380.1	IncAC2	0.7809	96567	2.3.5.13.32.124	2	3	5	13	32	124	reference		False
NZ_CP032391.1	IncAC2	0.6069	146176	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncC(0.39)	False
NZ_CP032385.1	IncAC2	0.4386	103514	2.3.5.13.32.112	2	3	5	13	32	112	reference	IncFII(0.39)	False
NZ_CP032192.1	IncAC2	0.5455	159356	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncC(0.31)	False
NZ_CP032168.1	IncAC2	1.0	158987	2.3.5.13.32.91	2	3	5	13	32	91	reference		False
NZ_CP032238.1	IncAC2	0.5692	162163	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncA(0.26)	False
NZ_CP024045.1	IncAC2	0.5943	101047	2.3.5.9.9.14	2	3	5	9	9	14	reference	IncFIB(0.41)	False
NZ_CP031122.1	IncAC2	0.8452	164992	2.3.5.13.32.106	2	3	5	13	32	106	reference		False
NZ_CP031226.1	IncAC2	0.6383	971889	2.3.5.13.32.183	2	3	5	13	32	183	reference		False
NZ_CP031164.1	IncAC2	0.7906	15514	2.3.5.13.47.204	2	3	5	13	47	204	reference		False
NZ_CP031106.1	IncAC2	0.4165	131411	2.3.5.13.32.112	2	3	5	13	32	112	reference	IncC(0.29)	False
NZ_CP030844.1	IncAC2	0.5743	121048	2.3.5.13.32.72	2	3	5	13	32	72	reference	IncFII(0.43)	False
NZ_CP030842.1	IncAC2	0.6166	108812	2.3.5.13.32.71	2	3	5	13	32	71	reference		False
NZ_CP029802.1	IncAC2	0.4508	90137	2.3.5.13.32.104	2	3	5	13	32	104	reference	IncFII(0.40)	False
NZ_CP029249.1	IncAC2	0.5861	152940	2.3.5.13.32.100	2	3	5	13	32	100	reference		False
NZ_CP016864.1	IncAC2	0.4512	104649	2.3.5.13.32.92	2	3	5	13	32	92	reference	IncC(0.36)	False
NZ_CP029096.1	IncAC2	0.7679	437392	2.3.5.13.32.148	2	3	5	13	32	148	reference		False
NZ_CP029091.1	IncAC2	0.5617	165365	2.3.5.13.32.155	2	3	5	13	32	155	reference		False
NZ_CP029134.1	IncAC2	0.5959	3125	2.3.5.27.75.232	2	3	5	27	75	232	reference		False
NZ_CP029131.1	IncAC2	0.5994	1059	2.3.17.49.97.254	2	3	17	49	97	254	reference	IncC(0.40)	False
NZ_CP029123.1	IncAC2	0.6253	97471	2.3.5.13.32.130	2	3	5	13	32	130	reference		False
NZ_CP029118.1	IncAC2	0.581	187909	2.3.5.13.32.112	2	3	5	13	32	112	reference	IncFII(0.26)	False
CP014330.2	IncAC2	0.7943	39408	2.3.5.13.25.57	2	3	5	13	25	57	reference		False
NZ_CP020913.1	IncAC2	0.4077	119867	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncC(0.38)	False
NZ_CP027679.1	IncAC2	0.6798	177190	2.3.5.13.32.112	2	3	5	13	32	112	reference		False
NZ_CP028814.1	IncAC2	0.4381	135268	2.3.5.13.32.112	2	3	5	13	32	112	reference	IncC(0.27)	False
CP027480.1	IncAC2	0.5971	283378	2.3.5.13.32.166	2	3	5	13	32	166	reference		False
CP027478.1	IncAC2	0.7801	467568	2.3.5.13.32.148	2	3	5	13	32	148	reference		False
NZ_CP028170.1	IncAC2	0.779	177712	2.3.5.13.32.91	2	3	5	13	32	91	reference		False
NZ_CP027170.1	IncAC2	0.5685	438531	2.3.5.13.32.148	2	3	5	13	32	148	reference		False
NZ_CP026405.1	IncAC2	0.5114	186884	2.3.5.13.32.112	2	3	5	13	32	112	reference		False
NZ_CP026233.1	IncAC2	0.4711	206795	2.3.5.13.32.112	2	3	5	13	32	112	reference		False
NZ_CP026225.1	IncAC2	0.7291	178635	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncC(0.27)	False
NZ_CP026207.1	IncAC2	0.5518	202687	2.3.5.13.32.91	2	3	5	13	32	91	reference		False
CP026281.1	IncAC2	0.574	198115	2.3.5.13.32.91	2	3	5	13	32	91	reference		False
NZ_CP010621.1	IncAC2	0.5944	68678	2.3.5.13.23.53	2	3	5	13	23	53	reference		False
NZ_CP010734.1	IncAC2	0.8146	7362	2.3.5.16.64.221	2	3	5	16	64	221	reference		False
NZ_CP010654.1	IncAC2	0.5944	68678	2.3.5.13.23.53	2	3	5	13	23	53	reference		False
NZ_CP019053.1	IncAC2	0.7745	155802	2.3.5.13.32.91	2	3	5	13	32	91	reference		False
NZ_CP025147.1	IncAC2	0.5334	205953	2.3.5.13.32.111	2	3	5	13	32	111	reference	IncFII(0.47)	False
NZ_CP025144.1	IncAC2	0.5312	204123	2.3.5.13.32.111	2	3	5	13	32	111	reference	IncFII(0.47)	False
NZ_CP025141.1	IncAC2	0.5323	204734	2.3.5.13.32.111	2	3	5	13	32	111	reference	IncFII(0.47)	False
NZ_CP024824.1	IncAC2	0.5832	62815	2.3.5.13.32.105	2	3	5	13	32	105	reference		False
NZ_CP024557.1	IncAC2	0.4873	217685	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncA(0.32)	False
NZ_CP024536.1	IncAC2	0.6163	187611	2.3.5.13.32.91	2	3	5	13	32	91	reference		False
NZ_CP024529.1	IncAC2	0.4901	221606	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncA(0.32)	False
NZ_CP024522.1	IncAC2	0.4902	221606	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncA(0.32)	False
NZ_CP024550.1	IncAC2	0.6163	187611	2.3.5.13.32.91	2	3	5	13	32	91	reference		False
NZ_CP024571.1	IncAC2	0.6162	187611	2.3.5.13.32.91	2	3	5	13	32	91	reference		False
NZ_CP024564.1	IncAC2	0.6162	187611	2.3.5.13.32.91	2	3	5	13	32	91	reference		False
NZ_CP024192.1	IncAC2	0.49	221606	2.3.5.13.32.91	2	3	5	13	32	91	reference	IncA(0.32)	False
NZ_CP010686.1	IncAC2	0.6022	23657	2.3.5.13.24.55	2	3	5	13	24	55	reference		False
NZ_CP017084.1	IncAC2	0.9017	171489	2.3.5.13.32.106	2	3	5	13	32	106	reference		False
NC_002489.3	IncAC2	0.5924	1286	2.8.24.56.104.261	2	8	24	56	104	261	reference	IncFII(0.41)	False
NC_006258.1	IncAC2	1.0	5987	2.3.5.30.78.235	2	3	5	30	78	235	reference		False
NC_004073.2	IncAC2	0.5914	46366	2.3.5.12.14.42	2	3	5	12	14	42	reference	IncA(0.41)	False
NC_004774.1	IncAC2	0.5985	19934	2.3.5.13.17.45	2	3	5	13	17	45	reference	IncA(0.40)	False
NC_003080.1	IncAC2	0.5993	14323	2.3.5.13.18.46	2	3	5	13	18	46	reference		False
NC_000959.1	IncAC2	0.596	45704	2.3.5.13.29.64	2	3	5	13	29	64	reference		False
NZ_AP026526.1	IncC	1.0	166530	1.3.5.14.22.37	1	3	5	14	22	37	training		False
NZ_CP040024.1	IncC	1.0	155920	1.3.5.14.22.37	1	3	5	14	22	37	training		False
NZ_CP040029.1	IncC	1.0	176345	1.3.5.14.22.37	1	3	5	14	22	37	training		False
NZ_CP040034.1	IncC	1.0	176345	1.3.5.14.22.37	1	3	5	14	22	37	training		False
NZ_CP040039.1	IncC	1.0	151220	1.3.5.14.22.37	1	3	5	14	22	37	training		False
NZ_CP070541.1	IncC	1.0	47716	1.3.5.14.22.49	1	3	5	14	22	49	training		False
NZ_CP070557.1	IncC	1.0	168105	1.3.5.14.22.30	1	3	5	14	22	30	training		False
NZ_CP070578.1	IncC	1.0	102009	1.3.5.14.22.29	1	3	5	14	22	29	training		False
NZ_CP070596.1	IncC	1.0	102008	1.3.5.14.22.29	1	3	5	14	22	29	training		False
NZ_CP085731.1	IncC	1.0	170174	1.3.5.14.22.26	1	3	5	14	22	26	training		False
NZ_CP091867.1	IncC	1.0	180872	1.3.5.14.22.28	1	3	5	14	22	28	training		False
NZ_CP091869.1	IncC	1.0	180031	1.3.5.14.22.25	1	3	5	14	22	25	training		False
NZ_CP135682.1	IncC	1.0	107043	1.3.5.14.22.37	1	3	5	14	22	37	training		False
NZ_MZ606383.1	IncC	1.0	138796	1.3.5.14.22.37	1	3	5	14	22	37	training		False
NZ_MZ606384.2	IncC	1.0	140133	1.3.5.14.22.27	1	3	5	14	22	27	training		False
NZ_OQ362291.1	IncC	1.0	114198	1.3.5.14.22.51	1	3	5	14	22	51	training		False
NZ_CP096368.1	IncC	0.7747	134802	1.3.5.14.22.27	1	3	5	14	22	27	reference		False
NZ_CP137204.1	IncC	0.4728	142801	1.3.5.14.22.37	1	3	5	14	22	37	reference	IncA(0.35)	False
NZ_CP137921.1	IncC	0.5377	185591	1.3.5.14.22.37	1	3	5	14	22	37	reference	IncA(0.27)	False
NZ_CP096344.1	IncC	0.5061	132772	1.3.5.14.22.37	1	3	5	14	22	37	reference	IncAC2(0.36)	False
NZ_CP096355.1	IncC	0.5057	132772	1.3.5.14.22.37	1	3	5	14	22	37	reference	IncAC2(0.36)	False
NZ_CP137231.1	IncC	0.4732	142801	1.3.5.14.22.37	1	3	5	14	22	37	reference	IncA(0.35)	False
