source_file	inc_group	organism_category	is_family	is1_pos	is2_pos	region_size	same_orientation	cargo_genes	n_cargo
RefSeq_NZ_CP050155.1	IncFII	Gram-negative	IS26	23833-24653	33702-34521	9049	True	blaIMP-4	1
RefSeq_NZ_CP050159.1	IncN	Gram-negative	IS26	4617-5436	27907-28727	22471	True	blaIMP-26	1
RefSeq_NZ_CP050160.1	IncN	Gram-negative	IS26	3852-4671	27142-27962	22471	True	blaIMP-4	1
RefSeq_NZ_CP050174.1	IncX1	Gram-negative	IS1	3940-4532	52055-52822	47523	False	mef(B),sul3,dfrA5,tet(X4),floR,tet(A),blaTEM-1,tet(M),qnrS1	9
RefSeq_NZ_CP050174.1	IncX1	Gram-negative	IS26	18382-19201	21202-22022	2001	True	dfrA5	1
RefSeq_NZ_CP050174.1	IncX1	Gram-negative	IS26	21202-22022	30920-31740	8898	True	tet(X4),floR	2
RefSeq_NZ_CP050174.1	IncX1	Gram-negative	IS26	30920-31740	47093-47912	15353	True	tet(A),blaTEM-1,tet(M)	3
RefSeq_NZ_CP050174.1	IncX1	Gram-negative	IS26	47093-47912	49316-50136	1404	True	qnrS1	1
RefSeq_NZ_CP050337.1	IncFII	Gram-negative	IS26	37782-38602	64024-64843	25422	True	blaCTX-M-14	1
RefSeq_NZ_CP050337.1	IncFII	Gram-negative	IS26	101098-101918	106429-107248	4511	True	aac(3)-IId	1
RefSeq_NZ_CP050337.1	IncFII	Gram-negative	IS26	106429-107248	116727-117548	9479	True	blaLAP-2,qnrS1	2
RefSeq_NZ_CP050339.1	IncFII	Gram-negative	IS26	4393-5213	11694-12513	6481	True	blaKPC-2	1
RefSeq_NZ_CP050339.1	IncFII	Gram-negative	IS26	70889-71711	73100-73923	1389	True	catA2	1
RefSeq_NZ_CP050343.1	IncFII	Gram-negative	IS26	72072-72891	82370-83189	9479	True	blaLAP-2,qnrS1	2
RefSeq_NZ_CP050343.1	IncFII	Gram-negative	IS26	82370-83189	84230-85050	1041	True	aph(3')-Ia	1
RefSeq_NZ_CP050345.1	IncFII	Gram-negative	IS26	4393-5212	9237-10057	4025	True	blaCTX-M-65	1
RefSeq_NZ_CP050345.1	IncFII	Gram-negative	IS26	9237-10057	16538-17357	6481	True	blaKPC-2	1
RefSeq_NZ_CP050345.1	IncFII	Gram-negative	IS26	75733-76555	77944-78767	1389	True	catA2	1
RefSeq_NZ_CP050349.1	IncFII	Gram-negative	IS26	28327-29148	58618-59437	29470	True	mph(A),mrx(A),sul1,dfrA1,tet(A)	5
RefSeq_NZ_CP050349.1	IncFII	Gram-negative	IS26	58618-59437	68916-69735	9479	True	blaLAP-2,qnrS1	2
RefSeq_NZ_CP050349.1	IncFII	Gram-negative	IS26	122945-123764	128275-129094	4511	True	aac(3)-IId	1
RefSeq_NZ_CP050351.1	IncFII	Gram-negative	IS26	58969-59788	66269-67089	6481	True	blaKPC-33	1
RefSeq_NZ_CP050351.1	IncFII	Gram-negative	IS26	66269-67089	71114-71933	4025	True	blaCTX-M-65	1
RefSeq_NZ_CP050355.1	IncFII	Gram-negative	IS26	69218-70037	95459-96279	25422	True	blaCTX-M-65	1
RefSeq_NZ_CP050355.1	IncFII	Gram-negative	IS26	100271-101090	105601-106420	4511	True	aac(3)-IId	1
RefSeq_NZ_CP050355.1	IncFII	Gram-negative	IS26	105601-106420	115899-116718	9479	True	blaLAP-2,qnrS1	2
RefSeq_NZ_CP050355.1	IncFII	Gram-negative	IS26	115899-116718	117759-118579	1041	True	aph(3')-Ia	1
RefSeq_NZ_CP050357.1	IncFII	Gram-negative	IS26	4393-5212	9237-10057	4025	True	blaCTX-M-65	1
RefSeq_NZ_CP050357.1	IncFII	Gram-negative	IS26	9237-10057	16538-17357	6481	True	blaKPC-2	1
RefSeq_NZ_CP050357.1	IncFII	Gram-negative	IS26	75733-76555	77944-78767	1389	True	catA2	1
RefSeq_NZ_CP050374.1	IncFII	Gram-negative	IS26	29828-30648	70976-71796	40328	True	aac(3)-IIe	1
RefSeq_NZ_CP050379.1	IncFII	Gram-negative	IS26	3436-4256	9863-10683	5607	True	aac(3)-IId	1
RefSeq_NZ_CP050379.1	IncFII	Gram-negative	IS26	9863-10683	14846-15667	4163	True	mph(A),mrx(A)	2
RefSeq_NZ_CP050379.1	IncFII	Gram-negative	IS26	14846-15667	21436-22255	5769	True	sul2,aph(3'')-Ib,aph(6)-Id,blaTEM-1	4
RefSeq_NZ_CP050379.1	IncFII	Gram-negative	IS26	26302-27121	34296-35119	7175	True	blaCTX-M-15	1
RefSeq_NZ_CP050379.1	IncFII	Gram-negative	IS26	34296-35119	36139-36874	1020	True	aph(3')-Ia	1
RefSeq_NZ_CP050707.1	IncX1	Gram-negative	IS26	20603-21422	26674-27502	5252	True	oqxB,oqxA2	2
RefSeq_NZ_CP050710.1	IncX1	Gram-negative	IS26	9158-9977	23040-23859	13063	True	aph(3')-IIa	1
RefSeq_NZ_CP050710.1	IncX1	Gram-negative	IS26	23040-23859	29111-29935	5252	True	oqxB,oqxA2	2
RefSeq_NZ_CP050713.1	IncX1	Gram-negative	IS26	19097-19925	25177-25996	5252	True	oqxA2,oqxB	2
RefSeq_NZ_CP050713.1	IncX1	Gram-negative	IS26	42136-42957	45453-46272	2496	True	fosA3	1
RefSeq_NZ_CP050717.1	IncX1	Gram-negative	IS26	9158-9977	23040-23859	13063	True	aph(3')-IIa	1
RefSeq_NZ_CP050717.1	IncX1	Gram-negative	IS26	23040-23859	29111-29935	5252	True	oqxB,oqxA2	2
RefSeq_NZ_CP050724.1	IncX1	Gram-negative	IS26	47921-48740	53934-54753	5194	True	oqxB,oqxA2	2
RefSeq_NZ_CP050735.1	IncFII	Gram-negative	IS26	16403-17222	24722-25541	7500	True	erm(42),sul2	2
RefSeq_NZ_CP050735.1	IncFII	Gram-negative	IS26	24722-25541	32080-32899	6539	True	tet(M)	1
RefSeq_NZ_CP050735.1	IncFII	Gram-negative	IS26	32080-32899	41707-42527	8808	True	qepA1,rmtB1,blaTEM-1	3
RefSeq_NZ_CP050759.1	IncX1	Gram-negative	IS26	13198-14016	19206-20025	5190	True	oqxB,oqxA	2
RefSeq_NZ_CP050761.1	IncN	Gram-negative	IS26	140276-141110	143606-144422	2496	True	fosA3	1
RefSeq_NZ_CP050761.1	IncN	Gram-negative	IS26	149175-149994	155191-156006	5197	True	oqxA,oqxB	2
RefSeq_NZ_CP050761.1	IncN	Gram-negative	IS26	157987-158812	161532-162349	2720	True	dfrA17,aadA5	2
RefSeq_NZ_CP050763.1	IncN	Gram-negative	IS1	125335-126102	148769-149536	22667	True	aph(6)-Id,aph(3'')-Ib,sul2,mph(A),mrx(A),tet(M)	6
RefSeq_NZ_CP050763.1	IncN	Gram-negative	IS26	138253-139074	148122-148768	9048	True	mph(A),mrx(A),tet(M)	3
RefSeq_NZ_CP050763.1	IncN	Gram-negative	IS26	148122-148768	169028-169848	20260	True	tet(A)	1
RefSeq_NZ_CP050770.1	IncFII	Gram-negative	IS26	13031-13688	36340-37159	22652	True	blaCTX-M-27,dfrA17	2
RefSeq_NZ_CP050770.1	IncFII	Gram-negative	IS26	36340-37159	50519-51338	13360	True	tet(A)	1
RefSeq_NZ_CP050770.1	IncFII	Gram-negative	IS26	50519-51338	60680-61499	9342	True	qepA1,rmtB1,blaTEM-1	3
RefSeq_NZ_CP050772.1	IncN	Gram-negative	IS26	120643-121462	138815-139635	17353	True	aac(3)-IVa,aph(4)-Ia,sul2,floR	4
RefSeq_NZ_CP050778.1	IncN	Gram-negative	IS1	120316-121083	143750-144517	22667	True	tet(M),mrx(A),mph(A),sul2,aph(3'')-Ib,aph(6)-Id	6
RefSeq_NZ_CP050778.1	IncN	Gram-negative	IS26	100002-100824	121084-121730	20260	True	tet(A)	1
RefSeq_NZ_CP050778.1	IncN	Gram-negative	IS26	121084-121730	130778-131599	9048	True	tet(M),mrx(A),mph(A)	3
RefSeq_NZ_CP050780.1	IncN	Gram-negative	IS26	124037-124856	142209-143029	17353	True	aac(3)-IVa,aph(4)-Ia,sul2,floR	4
RefSeq_NZ_CP050780.1	IncN	Gram-negative	IS26	142209-143029	147054-147873	4025	True	blaCTX-M-65	1
RefSeq_NZ_CP050780.1	IncN	Gram-negative	IS26	203130-203949	209919-210740	5970	True	aph(3')-IIa	1
RefSeq_NZ_CP050784.1	IncN	Gram-negative	IS1	97961-98728	120211-120978	21483	True	sul3,aadA1,cmlA1,aadA2,estX-3	5
RefSeq_NZ_CP050784.1	IncN	Gram-negative	IS26	178419-179238	195305-196124	16067	True	aac(3)-IVa,aph(4)-Ia,sul2,floR	4
RefSeq_NZ_CP050860.1	IncFII	Gram-negative	IS1	70385-71152	102291-103057	31139	True	arr-2,cmlA5,blaOXA-10,aadA1,dfrA14,floR,tet(A),aph(6)-Id,aph(3'')-Ib,sul2	10
RefSeq_NZ_CP050860.1	IncFII	Gram-negative	IS26	78528-79346	85164-85987	5818	True	arr-2,cmlA5,blaOXA-10,aadA1,dfrA14	5
RefSeq_NZ_CP051492.1	IncFII	Gram-negative	IS26	134478-135297	136338-137157	1041	True	aph(3')-Ia	1
RefSeq_NZ_CP051492.1	IncFII	Gram-negative	IS26	138911-139730	147581-148399	7851	True	floR,tet(A)	2
RefSeq_NZ_CP051492.1	IncFII	Gram-negative	IS26	165060-165880	179194-180010	13314	True	blaTEM-1,blaCTX-M-3,qnrS1	3
RefSeq_NZ_CP051610.1	IncFII	Gram-negative	IS26	6733-7552	13166-13987	5614	True	tet(A),aph(6)-Id,aph(3'')-Ib,sul2	4
RefSeq_NZ_CP051610.1	IncFII	Gram-negative	IS26	13166-13987	23939-24759	9952	True	mph(A),mrx(A),sul1,aadA5,dfrA17	5
RefSeq_NZ_CP051616.1	IncFII	Gram-negative	IS1	40360-41127	88077-88844	46950	False	dfrA17,aadA5,sul1,mrx(A),mph(A),sul2,aph(3'')-Ib,aph(6)-Id,tet(A),blaCTX-M-27	10
RefSeq_NZ_CP051616.1	IncFII	Gram-negative	IS26	41343-42162	52128-52949	9966	True	dfrA17,aadA5,sul1,mrx(A),mph(A)	5
RefSeq_NZ_CP051616.1	IncFII	Gram-negative	IS26	52128-52949	58563-59382	5614	True	sul2,aph(3'')-Ib,aph(6)-Id,tet(A)	4
RefSeq_NZ_CP051665.1	IncFII	Gram-negative	IS26	47940-48760	58574-59394	9814	True	dfrA17,aadA5,sul1,mrx(A),mph(A)	5
RefSeq_NZ_CP051665.1	IncFII	Gram-negative	IS26	58574-59394	65942-66764	6548	True	sul2,aph(3'')-Ib,aph(6)-Id,tet(A)	4
RefSeq_NZ_CP051695.1	IncFII	Gram-negative	IS26	30161-30976	40938-41759	9962	True	dfrA17,aadA5,sul1,mrx(A),mph(A)	5
RefSeq_NZ_CP051695.1	IncFII	Gram-negative	IS26	40938-41759	48423-49242	6664	True	sul2,aph(3'')-Ib,aph(6)-Id,tet(A)	4
RefSeq_NZ_CP052762.1	IncFII	Gram-negative	IS26	67891-68710	94132-94952	25422	True	blaCTX-M-14	1
RefSeq_NZ_CP052762.1	IncFII	Gram-negative	IS26	98944-99764	105371-106190	5607	True	aac(3)-IId	1
RefSeq_NZ_CP052762.1	IncFII	Gram-negative	IS26	111873-112696	114096-114915	1400	True	catA2	1
RefSeq_NZ_CP052762.1	IncFII	Gram-negative	IS26	114096-114915	117959-118778	3044	True	tet(D)	1
RefSeq_NZ_CP052763.1	IncN	Gram-negative	IS26	3789-4608	27079-27899	22471	True	blaIMP-4	1
RefSeq_NZ_CP052879.1	IncX1	Gram-negative	IS26	4186-5005	10212-11033	5207	True	oqxB,oqxA	2
RefSeq_NZ_CP052879.1	IncX1	Gram-negative	IS26	39993-40816	52214-53039	11398	True	floR,tet(A),aph(6)-Id,aph(3'')-Ib,sul2	5
RefSeq_NZ_CP053018.1	IncFII	Gram-negative	IS26	59183-60003	61044-61863	1041	True	aph(3')-Ia	1
RefSeq_NZ_CP053018.1	IncFII	Gram-negative	IS26	61044-61863	72294-73113	10431	True	qnrS1,blaLAP-2	2
RefSeq_NZ_CP053018.1	IncFII	Gram-negative	IS26	72294-73113	77624-78444	4511	True	aac(3)-IId	1
RefSeq_NZ_CP053036.1	IncFII	Gram-negative	IS1	64669-65381	94677-95444	29296	True	mph(A),mrx(A),sul1,aadA2,dfrA12,catA1	6
RefSeq_NZ_CP053047.1	IncX1	Gram-negative	IS26	15830-16649	19081-19900	2432	True	aadA2	1
RefSeq_NZ_CP053253.1	IncFII	Gram-negative	IS1	62414-63077	75299-76064	12222	False	sul2,aph(3'')-Ib,aph(6)-Id	3
RefSeq_NZ_CP053359.1	IncFII	Gram-negative	IS26	120050-120869	126159-126982	5290	True	sul2,aph(3'')-Ib,aph(6)-Id	3
RefSeq_NZ_CP053359.1	IncFII	Gram-negative	IS26	126159-126982	128382-129201	1400	True	catA2	1
RefSeq_NZ_CP053359.1	IncFII	Gram-negative	IS26	128382-129201	133597-134418	4396	True	blaTEM-1	1
RefSeq_NZ_CP053360.1	IncFII	Gram-negative	IS26	20513-21332	25794-26613	4462	True	blaSHV-12	1
RefSeq_NZ_CP053365.1	IncFII	Gram-negative	IS1	55497-56263	70216-70983	13953	False	catA1,aac(6')-Ib3,sul1,rmtC	4
RefSeq_NZ_CP053648.1	IncFII	Gram-negative	IS26	40991-41810	45324-46152	3514	True	tet(D)	1
RefSeq_NZ_CP053663.1	IncFII	Gram-negative	IS1	208665-209432	215021-215788	5589	False	tet(B)	1
RefSeq_NZ_CP053663.1	IncFII	Gram-negative	IS26	167875-168694	178934-179754	10240	True	dfrA12,aadA2,sul1,ble,blaNDM-1	5
RefSeq_NZ_CP053696.1	IncFII	Gram-negative	IS26	40991-41810	45324-46152	3514	True	tet(D)	1
RefSeq_NZ_CP053728.1	IncX1	Gram-negative	IS26	45277-46096	47145-47964	1049	True	aph(3')-Ia	1
RefSeq_NZ_CP053728.1	IncX1	Gram-negative	IS26	61604-62423	64473-65292	2050	True	qnrS2	1
RefSeq_NZ_CP053729.1	IncN	Gram-negative	IS26	16129-16949	65245-66065	48296	True	blaTEM-1,mcr-3.1,bleO	3
RefSeq_NZ_CP053729.1	IncN	Gram-negative	IS26	76728-77549	81604-82423	4055	True	floR	1
RefSeq_NZ_CP053767.1	IncFII	Gram-negative	IS1	69765-70477	84919-85686	14442	True	catA1	1
RefSeq_NZ_CP054166.1	IncFII	Gram-negative	IS26	23446-24266	26866-27685	2600	True	aac(3)-IIe	1
RefSeq_NZ_CP054215.1	IncFII	Gram-negative	IS1	26606-27269	40502-41269	13233	True	blaTEM-1,aph(6)-Id,aph(3'')-Ib,sul2,tet(B)	5
RefSeq_NZ_CP054215.1	IncFII	Gram-negative	IS1	40502-41269	54303-55070	13034	False	dfrA17	1
RefSeq_NZ_CP054215.1	IncFII	Gram-negative	IS26	35211-36031	47399-48218	11368	True	tet(B),dfrA17	2
RefSeq_NZ_CP054265.1	IncFII	Gram-negative	IS1	66404-67171	95673-96385	28502	True	catA1,dfrA12,aadA2,sul1,mrx(A),mph(A),aph(3')-Ia	7
RefSeq_NZ_CP054265.1	IncFII	Gram-negative	IS26	83390-84210	85251-85986	1041	True	aph(3')-Ia	1
RefSeq_NZ_CP054279.1	IncFII	Gram-negative	IS26	1-804	6600-7423	5796	True	mph(A),mrx(A)	2
RefSeq_NZ_CP054279.1	IncFII	Gram-negative	IS26	50933-51752	58350-59173	6598	True	sul2	1
RefSeq_NZ_CP054287.1	IncFII	Gram-negative	IS26	88977-89796	92396-93216	2600	True	aac(3)-IIe	1
RefSeq_NZ_CP054287.1	IncFII	Gram-negative	IS26	95403-96222	110191-111010	13969	True	blaCTX-M-15,blaTEM,aph(6)-Id,aph(3'')-Ib,sul2	5
RefSeq_NZ_CP054291.1	IncFII	Gram-negative	IS26	88882-89701	92301-93121	2600	True	aac(3)-IIe	1
RefSeq_NZ_CP054291.1	IncFII	Gram-negative	IS26	95308-96127	110094-110913	13967	True	blaCTX-M-15,blaTEM-1,aph(6)-Id,aph(3'')-Ib,sul2	5
RefSeq_NZ_CP054414.1	IncFII	Gram-negative	IS1	40291-40954	53177-53944	12223	False	sul2,aph(3'')-Ib,aph(6)-Id	3
RefSeq_NZ_CP054722.1	IncFII	Gram-negative	IS26	4393-5212	9237-10056	4025	True	blaCTX-M-65	1
RefSeq_NZ_CP054723.1	IncFII	Gram-negative	IS26	34536-35355	38080-38899	2725	True	dfrA14	1
RefSeq_NZ_CP054723.1	IncFII	Gram-negative	IS26	47054-47877	49277-50098	1400	True	catA2	1
RefSeq_NZ_CP054728.1	IncFII	Gram-negative	IS26	4393-5212	9237-10056	4025	True	blaCTX-M-65	1
RefSeq_NZ_CP054729.1	IncFII	Gram-negative	IS26	34536-35355	38080-38899	2725	True	dfrA14	1
RefSeq_NZ_CP054729.1	IncFII	Gram-negative	IS26	47054-47877	49277-50098	1400	True	catA2	1
RefSeq_NZ_CP054735.1	IncFII	Gram-negative	IS26	35027-35848	37248-38071	1400	True	catA2	1
RefSeq_NZ_CP054735.1	IncFII	Gram-negative	IS26	46226-47045	49770-50589	2725	True	dfrA14	1
RefSeq_NZ_CP054741.1	IncFII	Gram-negative	IS26	35027-35848	37248-38071	1400	True	catA2	1
RefSeq_NZ_CP054741.1	IncFII	Gram-negative	IS26	46226-47045	49770-50589	2725	True	dfrA14	1
RefSeq_NZ_CP054746.1	IncFII	Gram-negative	IS26	4393-5212	9237-10056	4025	True	blaCTX-M-65	1
RefSeq_NZ_CP054747.1	IncFII	Gram-negative	IS26	45101-45920	48645-49464	2725	True	dfrA14	1
RefSeq_NZ_CP054747.1	IncFII	Gram-negative	IS26	57619-58442	59842-60663	1400	True	catA2	1
RefSeq_NZ_CP054752.1	IncFII	Gram-negative	IS26	4393-5212	9237-10056	4025	True	blaCTX-M-65	1
RefSeq_NZ_CP054753.1	IncFII	Gram-negative	IS26	34536-35355	38080-38899	2725	True	dfrA14	1
RefSeq_NZ_CP054753.1	IncFII	Gram-negative	IS26	47054-47877	49277-50098	1400	True	catA2	1
RefSeq_NZ_CP054759.1	IncFII	Gram-negative	IS26	34536-35355	38080-38899	2725	True	dfrA14	1
RefSeq_NZ_CP054759.1	IncFII	Gram-negative	IS26	47054-47877	49277-50098	1400	True	catA2	1
RefSeq_NZ_CP054764.1	IncFII	Gram-negative	IS26	4393-5212	9237-10056	4025	True	blaCTX-M-65	1
RefSeq_NZ_CP054765.1	IncFII	Gram-negative	IS26	5771-6590	9315-10134	2725	True	dfrA14	1
RefSeq_NZ_CP054765.1	IncFII	Gram-negative	IS26	81667-82488	83888-84711	1400	True	catA2	1
RefSeq_NZ_CP054770.1	IncFII	Gram-negative	IS26	4393-5212	9237-10056	4025	True	blaCTX-M-65	1
RefSeq_NZ_CP054771.1	IncFII	Gram-negative	IS26	34536-35355	38080-38899	2725	True	dfrA14	1
RefSeq_NZ_CP054771.1	IncFII	Gram-negative	IS26	47054-47877	49277-50098	1400	True	catA2	1
RefSeq_NZ_CP054776.1	IncFII	Gram-negative	IS26	4393-5212	9237-10056	4025	True	blaCTX-M-65	1
RefSeq_NZ_CP054777.1	IncFII	Gram-negative	IS26	35027-35848	37248-38071	1400	True	catA2	1
RefSeq_NZ_CP054777.1	IncFII	Gram-negative	IS26	46226-47045	49770-50589	2725	True	dfrA14	1
RefSeq_NZ_CP054782.1	IncFII	Gram-negative	IS26	4393-5212	9237-10056	4025	True	blaCTX-M-65	1
RefSeq_NZ_CP054783.1	IncFII	Gram-negative	IS26	34536-35355	38080-38899	2725	True	dfrA14	1
RefSeq_NZ_CP054783.1	IncFII	Gram-negative	IS26	47054-47877	49277-50098	1400	True	catA2	1
RefSeq_NZ_CP054941.1	IncFII	Gram-negative	IS1	56186-56949	86048-86815	29099	True	aac(6')-Ib-cr5,blaOXA-1,catB3,aac(3)-IIe,blaNDM-1,ble,sul1,aadA2,dfrA12	9
RefSeq_NZ_CP054941.1	IncFII	Gram-negative	IS26	68087-68907	70647-71466	1740	True	aac(3)-IIe	1
RefSeq_NZ_CP054941.1	IncFII	Gram-negative	IS26	70647-71466	97905-98724	26439	True	blaNDM-1,ble,sul1,aadA2,dfrA12	5
RefSeq_NZ_CP054966.1	IncFII	Gram-negative	IS26	28957-29776	30817-31636	1041	True	aph(3')-Ia	1
RefSeq_NZ_CP054966.1	IncFII	Gram-negative	IS1	19942-20709	23815-24582	3106	False	tet(B)	1
RefSeq_NZ_CP054966.1	IncFII	Gram-negative	IS1	23815-24582	42714-43443	18132	True	catA1,aph(3')-Ia,blaTEM-1	3
RefSeq_NZ_CP054969.1	IncFII	Gram-negative	IS26	32773-33597	34638-35457	1041	True	aph(3')-Ia	1
RefSeq_NZ_CP054969.1	IncFII	Gram-negative	IS26	42274-43094	46843-47663	3749	True	mrx(A),mph(A)	2
RefSeq_NZ_CP054969.1	IncFII	Gram-negative	IS26	46843-47663	68860-69681	21197	True	tet(A),floR,blaTEM-1,blaCTX-M-3,qnrS1	5
RefSeq_NZ_CP054973.1	IncFII	Gram-negative	IS26	31599-32418	33459-34279	1041	True	aph(3')-Ia	1
RefSeq_NZ_CP054973.1	IncFII	Gram-negative	IS26	50940-51760	72957-73778	21197	True	tet(A),floR,blaTEM-1,blaCTX-M-3,qnrS1	5
RefSeq_NZ_CP054986.1	IncFII	Gram-negative	IS26	59114-59935	72060-72880	12125	True	qnrS1,blaCTX-M-3,blaTEM-1	3
RefSeq_NZ_CP054999.1	IncFII	Gram-negative	IS26	23811-24631	25672-26492	1041	True	aph(3')-Ia	1
RefSeq_NZ_CP054999.1	IncFII	Gram-negative	IS26	44217-45037	66234-67055	21197	True	tet(A),floR,blaTEM-1,blaCTX-M-3,qnrS1	5
RefSeq_NZ_CP055007.1	IncX1	Gram-negative	IS26	55870-56690	57731-58550	1041	True	aph(3')-Ia	1
RefSeq_NZ_CP055020.1	IncFII	Gram-negative	IS26	35537-36356	39543-40365	3187	True	aadA2,lnu(F)	2
RefSeq_NZ_CP055020.1	IncFII	Gram-negative	IS26	39543-40365	44370-45189	4005	True	aac(3)-IId	1
RefSeq_NZ_CP055020.1	IncFII	Gram-negative	IS26	44370-45189	46230-47052	1041	True	aph(3')-Ia	1
RefSeq_NZ_CP055020.1	IncFII	Gram-negative	IS26	81092-81916	119294-120116	37378	True	blaTEM-1	1
RefSeq_NZ_CP055020.1	IncFII	Gram-negative	IS1	108703-109470	135779-136535	26309	True	blaTEM-1	1
RefSeq_NZ_CP055038.1	IncFII	Gram-negative	IS26	29034-29853	30894-31713	1041	True	aph(3')-Ia	1
RefSeq_NZ_CP055038.1	IncFII	Gram-negative	IS26	50948-51768	72965-73786	21197	True	tet(A),floR,blaTEM-1,blaCTX-M-3,qnrS1	5
RefSeq_NZ_CP055039.1	IncX1	Gram-negative	IS26	24383-25203	51790-52609	26587	True	tet(A),qnrS1	2
RefSeq_NZ_CP055050.1	IncX1	Gram-negative	IS26	8704-9525	15407-16230	5882	True	floR,tet(A)	2
RefSeq_NZ_CP055050.1	IncX1	Gram-negative	IS26	18174-18993	20812-21631	1819	True	dfrA14	1
RefSeq_NZ_CP055059.1	IncFII	Gram-negative	IS26	29042-29861	30902-31721	1041	True	aph(3')-Ia	1
RefSeq_NZ_CP055059.1	IncFII	Gram-negative	IS26	56677-57497	78694-79515	21197	True	tet(A),floR,blaTEM-1,blaCTX-M-3,qnrS1	5
RefSeq_NZ_CP055067.1	IncFII	Gram-negative	IS26	72776-73595	74995-75815	1400	True	catA2	1
RefSeq_NZ_CP055067.1	IncFII	Gram-negative	IS26	80201-81020	82061-82880	1041	True	aph(3')-Ia	1
RefSeq_NZ_CP055067.1	IncFII	Gram-negative	IS26	85372-86192	92454-93274	6262	True	floR	1
RefSeq_NZ_CP055073.1	IncX1	Gram-negative	IS26	37331-38150	39969-40790	1819	True	dfrA14	1
RefSeq_NZ_CP055076.1	IncFII	Gram-negative	IS26	19539-20358	43360-44181	23002	True	tet(B),catA1	2
RefSeq_NZ_CP055076.1	IncFII	Gram-negative	IS26	63314-64133	65174-65993	1041	True	aph(3')-Ia	1
RefSeq_NZ_CP055076.1	IncFII	Gram-negative	IS26	65174-65993	74071-74890	8078	True	aac(3)-IId	1
RefSeq_NZ_CP055076.1	IncFII	Gram-negative	IS1	31448-32215	37804-38571	5589	False	tet(B)	1
RefSeq_NZ_CP055097.1	IncFII	Gram-negative	IS26	29018-29837	30878-31697	1041	True	aph(3')-Ia	1
RefSeq_NZ_CP055097.1	IncFII	Gram-negative	IS26	50932-51752	72955-73776	21203	True	tet(A),floR,blaTEM-1,blaCTX-M-3,qnrS1	5
RefSeq_NZ_CP055108.1	IncN	Gram-negative	IS26	31044-31863	32904-33723	1041	True	aph(3')-Ia	1
RefSeq_NZ_CP055108.1	IncN	Gram-negative	IS26	32904-33723	42398-43221	8675	True	mef(B),sul3,aadA1,cmlA1	4
RefSeq_NZ_CP055108.1	IncN	Gram-negative	IS26	50873-51692	57508-58327	5816	True	dfrA14,aadA1,blaOXA-10,cmlA5,arr-2	5
RefSeq_NZ_CP055120.1	IncFII	Gram-negative	IS26	97639-98459	99500-100319	1041	True	aph(3')-Ia	1
RefSeq_NZ_CP055185.1	IncX1	Gram-negative	IS26	8704-9525	15407-16230	5882	True	floR,tet(A)	2
RefSeq_NZ_CP055185.1	IncX1	Gram-negative	IS26	18174-18993	20812-21631	1819	True	dfrA14	1
RefSeq_NZ_CP055200.1	IncFII	Gram-negative	IS26	2816-3635	23290-24109	19655	True	tet(M),aadA1,cmlA1,aadA2,dfrA12,floR	6
RefSeq_NZ_CP055200.1	IncFII	Gram-negative	IS26	29599-30421	31462-32281	1041	True	aph(3')-Ia	1
RefSeq_NZ_CP055200.1	IncFII	Gram-negative	IS26	39602-40421	47953-48772	7532	True	sul2,erm(42)	2
RefSeq_NZ_CP055200.1	IncFII	Gram-negative	IS26	47953-48772	54803-55622	6031	True	aadA22	1
RefSeq_NZ_CP055211.1	IncFII	Gram-negative	IS26	75162-75897	76938-77757	1041	True	aph(3')-Ia	1
RefSeq_NZ_CP055211.1	IncFII	Gram-negative	IS26	76938-77757	84270-85090	6513	True	tet(A)	1
RefSeq_NZ_CP055211.1	IncFII	Gram-negative	IS26	84270-85090	106628-107447	21538	True	mph(A),mrx(A),sul1,aadA2,dfrA12,blaTEM-1,blaCTX-M-15	7
RefSeq_NZ_CP055212.1	IncFII	Gram-negative	IS26	9418-10236	19279-20100	9043	True	floR,sul2	2
RefSeq_NZ_CP055212.1	IncFII	Gram-negative	IS26	37920-38739	41580-42399	2841	True	blaTEM-1,rmtB1	2
RefSeq_NZ_CP055214.1	IncFII	Gram-negative	IS26	39637-40457	41498-42317	1041	True	aph(3')-Ia	1
RefSeq_NZ_CP055214.1	IncFII	Gram-negative	IS26	41498-42317	52736-53559	10419	True	sul2,floR	2
RefSeq_NZ_CP055214.1	IncFII	Gram-negative	IS26	52736-53559	54959-55778	1400	True	catA2	1
RefSeq_NZ_CP055214.1	IncFII	Gram-negative	IS26	54959-55778	66197-67020	10419	True	sul2,floR	2
RefSeq_NZ_CP055214.1	IncFII	Gram-negative	IS26	66197-67020	68420-69239	1400	True	catA2	1
RefSeq_NZ_CP055217.1	IncFII	Gram-negative	IS26	4928-5747	10283-11104	4536	True	msr(E),mph(E)	2
RefSeq_NZ_CP055217.1	IncFII	Gram-negative	IS26	10283-11104	12169-12988	1065	True	aph(3')-Ia	1
RefSeq_NZ_CP055248.1	IncFII	Gram-negative	IS26	25162-25983	28479-29298	2496	True	fosA3	1
RefSeq_NZ_CP055254.1	IncFII	Gram-negative	IS26	6103-6924	9420-10239	2496	True	fosA3	1
RefSeq_NZ_CP055296.1	IncFII	Gram-negative	IS26	4393-5212	9237-10056	4025	True	blaCTX-M-65	1
